columna,total_filas,n_nulos,pct_nulos,n_unicos,tipo_dato,categoria_nulo,explicacion
conciliacion,1997,1997,1.0,0,float64,estructural_materia,Columna correspondiente a layouts de resolución o de otros cuadros que no aplica a causas por tipo de proceso (0 registros)
concluidas_extincion_prescripcion,1997,1997,1.0,0,float64,estructural_materia,Columna correspondiente a layouts de resolución o de otros cuadros que no aplica a causas por tipo de proceso (0 registros)
concluidas_sentencia_juicio,1997,1997,1.0,0,float64,estructural_materia,Columna correspondiente a layouts de resolución o de otros cuadros que no aplica a causas por tipo de proceso (0 registros)
num_juzgados,1997,1997,1.0,0,Int64,estructural_materia,Columna correspondiente a layouts de resolución o de otros cuadros que no aplica a causas por tipo de proceso (0 registros)
recibidas_otros_juzgados,1997,1997,1.0,0,float64,estructural_materia,Columna correspondiente a layouts de resolución o de otros cuadros que no aplica a causas por tipo de proceso (0 registros)
remision_art_299_ley_548,1997,1997,1.0,0,float64,estructural_materia,Columna correspondiente a layouts de resolución o de otros cuadros que no aplica a causas por tipo de proceso (0 registros)
remitidas_finalizacion_competencia,1997,1997,1.0,0,float64,estructural_materia,Columna correspondiente a layouts de resolución o de otros cuadros que no aplica a causas por tipo de proceso (0 registros)
reparacion_dano,1997,1997,1.0,0,float64,estructural_materia,Columna correspondiente a layouts de resolución o de otros cuadros que no aplica a causas por tipo de proceso (0 registros)
reparacion_dano_conciliacion,1997,1997,1.0,0,float64,estructural_materia,Columna correspondiente a layouts de resolución o de otros cuadros que no aplica a causas por tipo de proceso (0 registros)
sobreseimiento,1997,1997,1.0,0,float64,estructural_materia,Columna correspondiente a layouts de resolución o de otros cuadros que no aplica a causas por tipo de proceso (0 registros)
terminacion_anticipada,1997,1997,1.0,0,float64,estructural_materia,Columna correspondiente a layouts de resolución o de otros cuadros que no aplica a causas por tipo de proceso (0 registros)
concluidas_otras_formas,1997,1940,0.971457185778668,38,float64,estructural_materia,Exclusiva de cuadros penales (instrucción o sentencia); nula por ley en materias civiles/sociales
concluidas_rechazo_denuncia,1997,1940,0.971457185778668,53,float64,estructural_materia,Exclusiva de cuadros penales (instrucción o sentencia); nula por ley en materias civiles/sociales
imputacion_directa_procedimiento_inmediato,1997,1940,0.971457185778668,47,float64,estructural_materia,Exclusiva de cuadros penales (instrucción o sentencia); nula por ley en materias civiles/sociales
ingresadas_reenvio,1997,1940,0.971457185778668,10,float64,estructural_materia,Exclusiva de cuadros penales (instrucción o sentencia); nula por ley en materias civiles/sociales
merecieron_acusacion,1997,1940,0.971457185778668,52,float64,estructural_materia,Exclusiva de cuadros penales (instrucción o sentencia); nula por ley en materias civiles/sociales
merecieron_imputacion_formal,1997,1940,0.971457185778668,50,float64,estructural_materia,Exclusiva de cuadros penales (instrucción o sentencia); nula por ley en materias civiles/sociales
otras_formas_finalizacion,1997,1940,0.971457185778668,50,float64,estructural_materia,Exclusiva de cuadros penales (instrucción o sentencia); nula por ley en materias civiles/sociales
otras_formas_ingreso,1997,1940,0.971457185778668,13,float64,estructural_materia,Exclusiva de cuadros penales (instrucción o sentencia); nula por ley en materias civiles/sociales
remitidas_excusa_recusacion,1997,1940,0.971457185778668,6,float64,estructural_materia,Exclusiva de cuadros penales (instrucción o sentencia); nula por ley en materias civiles/sociales
remitidas_otras_formas,1997,1940,0.971457185778668,16,float64,estructural_materia,Exclusiva de cuadros penales (instrucción o sentencia); nula por ley en materias civiles/sociales
