n,q1,mediana,q3,iqr,limite_inf,limite_sup,limite_severo,p95,estrato,columna,n_outliers,n_severos
40,0.75,37.5,113.0,112.25,0.0,281.375,449.75,1597.849999999996,Partido Administrativo Coactivo Fiscal y Tributario __ capital,atendidas,8,8
120,1.0,40.5,361.0,360.0,0.0,901.0,1441.0,2065.2999999999997,Partido de Trabajo y Seguridad Social __ capital,atendidas,13,9
108,0.0,1.0,20.25,20.25,0.0,50.625,81.0,427.84999999999974,Partido de Trabajo y Seguridad Social __ provincia,atendidas,19,16
250,4.0,24.5,165.5,161.5,0.0,407.75,650.0,2144.599999999999,Público Civil y Comercial __ capital,atendidas,43,33
225,0.0,9.0,69.0,69.0,0.0,172.5,276.0,1109.5999999999979,Público Civil y Comercial __ provincia,atendidas,38,30
250,0.0,6.0,36.75,36.75,0.0,91.875,147.0,190.54999999999964,Público Niñez y Adolescencia __ capital,atendidas,28,18
225,0.0,3.0,14.0,14.0,0.0,35.0,56.0,90.79999999999998,Público Niñez y Adolescencia __ provincia,atendidas,34,24
230,2.0,28.0,170.5,168.5,0.0,423.25,676.0,1537.6999999999987,Público de Familia __ capital,atendidas,30,22
207,1.0,8.0,80.5,79.5,0.0,199.75,319.0,1236.4999999999993,Público de Familia __ provincia,atendidas,31,24
40,0.0,12.0,53.75,53.75,0.0,134.375,215.0,191.5999999999995,Partido Administrativo Coactivo Fiscal y Tributario __ capital,nuevas_ingresadas,5,2
120,0.0,19.0,136.25,136.25,0.0,340.625,545.0,725.7499999999995,Partido de Trabajo y Seguridad Social __ capital,nuevas_ingresadas,17,8
108,0.0,0.0,13.25,13.25,0.0,33.125,53.0,201.19999999999993,Partido de Trabajo y Seguridad Social __ provincia,nuevas_ingresadas,16,11
250,1.0,12.0,83.75,82.75,0.0,207.875,332.0,1630.0499999999977,Público Civil y Comercial __ capital,nuevas_ingresadas,47,37
225,0.0,5.0,44.0,44.0,0.0,110.0,176.0,634.9999999999989,Público Civil y Comercial __ provincia,nuevas_ingresadas,38,30
250,0.0,3.0,26.0,26.0,0.0,65.0,104.0,130.0499999999998,Público Niñez y Adolescencia __ capital,nuevas_ingresadas,29,15
225,0.0,2.0,10.0,10.0,0.0,25.0,40.0,65.59999999999988,Público Niñez y Adolescencia __ provincia,nuevas_ingresadas,31,21
230,1.0,21.0,119.5,118.5,0.0,297.25,475.0,1273.75,Público de Familia __ capital,nuevas_ingresadas,31,21
207,0.0,5.0,47.5,47.5,0.0,118.75,190.0,673.7999999999998,Público de Familia __ provincia,nuevas_ingresadas,32,25
28,1.240530303030303,2.8696461824953445,6.80050505050505,5.559974747474747,0.0,15.140467171717171,23.480429292929294,15.56777777777777,Partido Administrativo Coactivo Fiscal y Tributario __ capital,tasa_congestion,2,1
84,1.3344017094017095,1.9823529411764707,3.246223958333333,1.9118222489316237,0.0,6.113957331730768,8.981690705128205,6.277816957845805,Partido de Trabajo y Seguridad Social __ capital,tasa_congestion,5,2
50,1.4693877551020407,2.129469122426869,3.0,1.5306122448979593,0.0,5.295918367346939,7.591836734693878,9.67857142857142,Partido de Trabajo y Seguridad Social __ provincia,tasa_congestion,5,4
200,1.3285626875429568,1.7403703703703703,2.4553763440860217,1.1268136565430649,0.0,4.145596828900619,5.835817313715216,5.341666666666663,Público Civil y Comercial __ capital,tasa_congestion,18,9
