cuadro_origen,pagina_pdf,firma,familia,ambito,titulo_pagina,entidad,num_juzgados_pagina,unidad_fila,grupo_proceso,tipo_proceso_extraido,tipo_proceso,tipo_fila_derivado,orden_fila,n_columnas,readecuadas_ley_439,recibidas_excusa_recusacion,preliminares_formalizados,cautelares_formalizados,nuevas_ingresadas,atendidas,resueltas,pendientes_fin,pendientes_inicio,conciliacion,num_juzgados,recibidas_otros_juzgados,concluidas_rechazo_denuncia,reparacion_dano_conciliacion,remision_art_299_ley_548,merecieron_imputacion_formal,remitidas_finalizacion_competencia,procesos_rebeldia,reparacion_dano,sobreseimiento,terminacion_anticipada,merecieron_acusacion,concluidas_extincion_prescripcion,concluidas_sentencia_juicio,remitidas_otros_juzgados,concluidas_otras_formas,imputacion_directa_procedimiento_inmediato,otras_formas_finalizacion,recibidas_declinatoria_inhibitoria,ingresadas_conversion_acciones,otras_formas_conclusion,resueltas_sentencia,ingresadas_reenvio,otras_formas_ingreso,remitidas_excusa_recusacion,remitidas_otras_formas,materia_seccion,tipo_accion_penal,materia_norm,materia_homologada,materia_cruda,ciudad,distrito,departamento_derivado,es_total_nacional,grupo_proceso_norm,etapa_proceso_fuente,contexto_accion_penal,gestion,revisado_manual,territorio,tipo_elemento_analitico,recurso_juzgados_publicados,recurso_tribunales_publicados,recurso_salas_publicadas,recurso_conciliadores_publicados,recurso_otros_organos_publicados,recursos_clasificacion_completa,personal_cuadro_origen,personal_pagina_pdf,personal_distrito,personal_gestion,personal_items_mujer,personal_items_varon,personal_items_acefalias,personal_items_total,personal_remun_mujer,personal_remun_varon,personal_remun_acefalias,personal_remun_total,personal_nivel_geografico,personal_metodo_seleccion,estado_gestion,ingresos_totales,tasa_resolucion,tasa_resolucion_solo_nuevas,tasa_congestion,tasa_pendencia,duracion_estimada_dias,acumulacion_neta_anual,flag_acumula_mora,flag_sin_resolucion_anual,flag_sin_movimiento,atendidas_por_item_personal,atendidas_por_juzgado_territorio
5.1.1.1,121,20d3125560,causas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,14,tipo_proceso,ORDIN ARIO,ORDINARIO,ORDINARIO,detalle,1,8,770,22,160,21,1424,2397,1286,1111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,,Chuquisaca,False,ORDINARIO,no_aplica,no_aplica,2023,False,SUCRE,proceso,50,2,8,5,,True,14.1.3,746,CHUQUISACA,2023,316,216,33,565,1780232,1744314,142321,3666867,distrito_judicial,fila_distrital_publicada_14.1.3,con_resolucion_parcial,2397.0,0.5365039632874427,0.9030898876404494,1.8639191290824262,0.46349603671255735,315.33048211508554,1111.0,True,False,False,4.242477876106195,47.94
5.1.1.1,121,20d3125560,causas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,14,tipo_proceso,EXTRAORDI NARIO,REGULARIZACIÓN DE DERECHO PROPIETARIO SOBRE BIENES INMUEBLES URBANOS DESTINADOS A LA VIVIENDA,REGULARIZACIÓN DE DERECHO PROPIETARIO SOBRE BIENES INMUEBLES URBANOS DESTINADOS A LA VIVIENDA,detalle,2,8,8,0,0,0,12,20,6,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,,Chuquisaca,False,EXTRAORDINARIO,no_aplica,no_aplica,2023,False,SUCRE,proceso,50,2,8,5,,True,14.1.3,746,CHUQUISACA,2023,316,216,33,565,1780232,1744314,142321,3666867,distrito_judicial,fila_distrital_publicada_14.1.3,con_resolucion_parcial,20.0,0.3,0.5,3.3333333333333335,0.7,851.6666666666667,14.0,True,False,False,0.035398230088495575,0.4
5.1.1.1,121,20d3125560,causas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,14,tipo_proceso,EXTRAORDI NARIO,INTERDICTOS,INTERDICTOS,detalle,3,8,32,1,1,1,44,79,37,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,,Chuquisaca,False,EXTRAORDINARIO,no_aplica,no_aplica,2023,False,SUCRE,proceso,50,2,8,5,,True,14.1.3,746,CHUQUISACA,2023,316,216,33,565,1780232,1744314,142321,3666867,distrito_judicial,fila_distrital_publicada_14.1.3,con_resolucion_parcial,79.0,0.46835443037974683,0.8409090909090909,2.135135135135135,0.5316455696202531,414.3243243243243,42.0,True,False,False,0.13982300884955753,1.58
5.1.1.1,121,20d3125560,causas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,14,tipo_proceso,EXTRAORDI NARIO,DESALOJO DE VIVIENDA,DESALOJO DE VIVIENDA,detalle,4,8,5,1,0,0,28,34,20,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,,Chuquisaca,False,EXTRAORDINARIO,no_aplica,no_aplica,2023,False,SUCRE,proceso,50,2,8,5,,True,14.1.3,746,CHUQUISACA,2023,316,216,33,565,1780232,1744314,142321,3666867,distrito_judicial,fila_distrital_publicada_14.1.3,con_resolucion_parcial,34.0,0.5882352941176471,0.7142857142857143,1.7,0.4117647058823529,255.49999999999997,14.0,True,False,False,0.06017699115044248,0.68
5.1.1.1,121,20d3125560,causas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,14,tipo_proceso,MONITOREO,EJECUTIVO,EJECUTIVO,detalle,5,8,60,4,398,2,2019,2483,2356,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,,Chuquisaca,False,MONITOREO,no_aplica,no_aplica,2023,False,SUCRE,proceso,50,2,8,5,,True,14.1.3,746,CHUQUISACA,2023,316,216,33,565,1780232,1744314,142321,3666867,distrito_judicial,fila_distrital_publicada_14.1.3,con_resolucion_parcial,2483.0,0.9488521949254933,1.16691431401684,1.053904923599321,0.05114780507450665,19.675297113752123,127.0,True,False,False,4.394690265486726,49.66
5.1.1.1,121,20d3125560,causas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,14,tipo_proceso,MONITOREO,ENTREGA DEL BIEN O CUMPLIMIENTO DE DAR,ENTREGA DEL BIEN O CUMPLIMIENTO DE DAR,detalle,6,8,0,0,0,0,16,16,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,,Chuquisaca,False,MONITOREO,no_aplica,no_aplica,2023,False,SUCRE,proceso,50,2,8,5,,True,14.1.3,746,CHUQUISACA,2023,316,216,33,565,1780232,1744314,142321,3666867,distrito_judicial,fila_distrital_publicada_14.1.3,con_resolucion_parcial,16.0,0.9375,0.9375,1.0666666666666667,0.0625,24.333333333333332,1.0,True,False,False,0.02831858407079646,0.32
5.1.1.1,121,20d3125560,causas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,14,tipo_proceso,MONITOREO,ENTREGA DE LA HERENCIA,ENTREGA DE LA HERENCIA,detalle,7,8,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,,Chuquisaca,False,MONITOREO,no_aplica,no_aplica,2023,False,SUCRE,proceso,50,2,8,5,,True,14.1.3,746,CHUQUISACA,2023,316,216,33,565,1780232,1744314,142321,3666867,distrito_judicial,fila_distrital_publicada_14.1.3,sin_movimiento,0.0,,,,0.0,,0.0,False,False,True,0.0,0.0
5.1.1.1,121,20d3125560,causas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,14,tipo_proceso,MONITOREO,RESOLUCIÓN DE CONTRATO POR INCUMPLIMIENTO DE PAGO,RESOLUCIÓN DE CONTRATO POR INCUMPLIMIENTO DE PAGO,detalle,8,8,9,0,3,0,13,25,6,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,,Chuquisaca,False,MONITOREO,no_aplica,no_aplica,2023,False,SUCRE,proceso,50,2,8,5,,True,14.1.3,746,CHUQUISACA,2023,316,216,33,565,1780232,1744314,142321,3666867,distrito_judicial,fila_distrital_publicada_14.1.3,con_resolucion_parcial,25.0,0.24,0.46153846153846156,4.166666666666667,0.76,1155.8333333333333,19.0,True,False,False,0.04424778761061947,0.5
5.1.1.1,121,20d3125560,causas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,14,tipo_proceso,MONITOREO,CESE DE LA COPROPIEDAD,CESE DE LA COPROPIEDAD,detalle,9,8,0,1,0,0,4,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,,Chuquisaca,False,MONITOREO,no_aplica,no_aplica,2023,False,SUCRE,proceso,50,2,8,5,,True,14.1.3,746,CHUQUISACA,2023,316,216,33,565,1780232,1744314,142321,3666867,distrito_judicial,fila_distrital_publicada_14.1.3,resolucion_total,5.0,1.0,1.25,1.0,0.0,0.0,0.0,False,False,False,0.008849557522123894,0.1
5.1.1.1,121,20d3125560,causas,capital,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,14,tipo_proceso,MONITOREO,DESALOJO EN REGIMEN DE LIBRE CONTRATACIÓN,DESALOJO EN REGIMEN DE LIBRE CONTRATACIÓN,detalle,10,8,2,2,1,0,13,18,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PÚBLICO CIVIL Y COMERCIAL,,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto,SUCRE,,Chuquisaca,False,MONITOREO,no_aplica,no_aplica,2023,False,SUCRE,proceso,50,2,8,5,,True,14.1.3,746,CHUQUISACA,2023,316,216,33,565,1780232,1744314,142321,3666867,distrito_judicial,fila_distrital_publicada_14.1.3,con_resolucion_parcial,18.0,0.8333333333333334,1.1538461538461537,1.2,0.16666666666666666,73.0,3.0,True,False,False,0.03185840707964602,0.36
