cuadro_origen_movimiento,pagina_pdf_movimiento,ambito,eje_movimiento,etiqueta_fila_movimiento,num_juzgados_movimiento,pendientes_inicio_movimiento,ingresadas_movimiento,atendidas_movimiento,resueltas_movimiento,pendientes_fin_movimiento,pct_resueltas_movimiento,pct_pendientes_movimiento,promedio_por_juzgado_movimiento,col_sin_rotulo_1_movimiento,ciudad_movimiento,departamento_movimiento,departamento_derivado_movimiento,materia_cruda_movimiento,materia_norm_movimiento,materia_homologada,instancia_derivada_movimiento,tipo_fila_derivado_movimiento,errata_corregida_movimiento,gestion,revisado_manual_movimiento,cuadro_origen_gestion,pagina_pdf_gestion,eje_gestion,etiqueta_fila_gestion,resueltas_gestion,pct_resueltas_gestion,materia_cruda_gestion,materia_norm_gestion,instancia_derivada_gestion,tipo_fila_derivado_gestion,errata_corregida_gestion,revisado_manual_gestion,estado_union
9.1.1,673,capital,materia,EJECUCIÓN PENAL,19,37717,15819,53536,8992,44544,16.8,83.2,833.0,,,,,EJECUCIÓN PENAL,EJECUCIÓN PENAL,Ejecución Penal,juzgado,dato,False,2023,False,9.1.2,677,materia,Ejecución Penal,8992,16.6,Ejecución Penal,Ejecución Penal,juzgado,dato,False,False,both
9.1.1,673,capital,materia,INSTRUCCIÓN ANTICORRUPCIÓN,4,2335,2066,4401,1940,2461,44.1,55.9,517.0,,,,,INSTRUCCIÓN ANTICORRUPCIÓN,INSTRUCCIÓN ANTICORRUPCIÓN,Instrucción Anticorrupción,juzgado,dato,False,2023,False,9.1.2,677,materia,Instrucción Anticorrupción,1940,45.3,Instrucción Anticorrupción,Instrucción Anticorrupción,juzgado,dato,False,False,both
9.1.1,673,capital,materia,INSTRUCCÓN CONTRA LA VIOLENCIA HACIA LA MUJER,33,25071,34188,59259,30983,28276,52.3,47.7,1036.0,,,,,INSTRUCCÓN CONTRA LA VIOLENCIA HACIA LA MUJER,INSTRUCCIÓN CONTRA LA VIOLENCIA HACIA LA MUJER,Instrucción Contra la Violencia hacia las Mujeres,juzgado,dato,True,2023,False,9.1.2,677,materia,Instrucción Contra la Violencia hacia las Mujeres,30983,54.5,Instrucción Contra la Violencia hacia las Mujeres,Instrucción Contra la Violencia hacia las Mujeres,juzgado,dato,False,False,both
9.1.1,673,capital,materia,INSTRUCCIÓN PENAL,75,39361,59752,99113,60894,38219,61.4,38.6,797.0,,,,,INSTRUCCIÓN PENAL,INSTRUCCIÓN PENAL,Instrucción Penal,juzgado,dato,False,2023,False,9.1.2,677,materia,Instrucción Penal,60894,62.0,Instrucción Penal,Instrucción Penal,juzgado,dato,False,False,both
9.1.1,673,capital,materia,PARTIDO ADMINISTRATIVO COACTIVO FISCAL Y TRIBUTARIO,13,11237,2012,13249,2671,10578,20.2,79.8,155.0,,,,,PARTIDO ADMINISTRATIVO COACTIVO FISCAL Y TRIBUTARIO,PARTIDO ADMINISTRATIVO COACTIVO FISCAL Y TRIBUTARIO,Partido Administrativo Coactivo Fiscal y Tributario,juzgado,dato,False,2023,False,9.1.2,677,materia,"Partido Administrativo, Coactivo Fiscal",2671,20.2,"Partido Administrativo, Coactivo Fiscal","Partido Administrativo, Coactivo Fiscal",juzgado,dato,False,False,both
9.1.1,673,capital,materia,PARTIDO DE TRABAJO Y SEGURIDAD SOCIAL,51,23611,21382,44992,20797,24195,46.2,53.8,419.0,,,,,PARTIDO DE TRABAJO Y SEGURIDAD SOCIAL,PARTIDO DE TRABAJO Y SEGURIDAD SOCIAL,Partido de Trabajo y Seguridad Social,juzgado,dato,False,2023,False,9.1.2,677,materia,Partido Trabajo y Seguridad Social,20797,46.2,Partido Trabajo y Seguridad Social,Partido Trabajo y Seguridad Social,juzgado,dato,False,False,both
9.1.1,673,capital,materia,PÚBLICO CIVIL Y COMERCIAL,163,29688,66140,95828,67788,28040,70.7,29.3,406.0,,,,,PÚBLICO CIVIL Y COMERCIAL,PÚBLICO CIVIL Y COMERCIAL,Público Civil y Comercial,juzgado,dato,False,2023,False,9.1.2,677,materia,Público Civil y Comercial,67788,70.7,Público Civil y Comercial,Público Civil y Comercial,juzgado,dato,False,False,both
9.1.1,673,capital,materia,PÚBLICO NIÑEZ Y ADOLESCENCIA,26,3846,8549,12395,8368,4027,67.5,32.5,329.0,,,,,PÚBLICO NIÑEZ Y ADOLESCENCIA,PÚBLICO NIÑEZ Y ADOLESCENCIA,Público Niñez y Adolescencia,juzgado,dato,False,2023,False,9.1.2,677,materia,Público Niñez y Adolescencia,8368,67.5,Público Niñez y Adolescencia,Público Niñez y Adolescencia,juzgado,dato,False,False,both
9.1.1,673,capital,materia,PÚBLICO DE FAMILIA,106,24149,50600,74749,52523,22226,70.3,29.7,477.0,,,,,PÚBLICO DE FAMILIA,PÚBLICO DE FAMILIA,Público de Familia,juzgado,dato,False,2023,False,9.1.2,677,materia,Público de Familia,52523,70.3,Público de Familia,Público de Familia,juzgado,dato,False,False,both
9.1.1,673,capital,materia,SENTENCIA ANTICORRUPCIÓN,1,870,604,1474,370,1104,25.1,74.9,604.0,,,,,SENTENCIA ANTICORRUPCIÓN,SENTENCIA ANTICORRUPCIÓN,SENTENCIA ANTICORRUPCIÓN,juzgado,dato,False,2023,False,,,,,,,,,,,,,solo_movimiento
