tabla,cuadro_origen,pagina_pdf,literal_actual,literal_pdf,clasificacion,causa,forma_propuesta,decision,confianza,evidencia_pdf,accion_futura_recomendada,observaciones
causas_por_tipo_proceso,5.1.1.1,122,CONCURSALES ESO LES,CONCURSALES,fragmento_confirmado,texto_vertical_adherido,CONCURSALES,correccion_extraccion_recomendada,alta,PDF p. 122: la fila dice CONCURSALES; los fragmentos verticales pertenecen al grupo PROCESOS CONCURSALES.,Corregir en extracción preservando literal PDF y trazabilidad.,
causas_por_tipo_proceso,5.1.1.1,131,O ORDINARIO,ORDINARIO,fragmento_confirmado,texto_vertical_adherido,ORDINARIO,correccion_extraccion_recomendada,alta,PDF p. 131: ORDINARIO es la fila; ORDI/NARI/O es el rótulo vertical del grupo.,Corregir en extracción preservando literal PDF y trazabilidad.,
causas_por_tipo_proceso,5.1.1.1,122,"TRADUCCIÓN DE DOCUMENTO EN IDIOMA EXTRANJERO INSCRIPCIÓN, MODIFICACIÓN, CANCELACIÓN O FUSIÓN DE PARTIDAS EN EL",TRADUCCIÓN DE DOCUMENTO EN IDIOMA EXTRANJERO,concatenacion_confirmada,inicio_fila_siguiente_adherido,TRADUCCIÓN DE DOCUMENTO EN IDIOMA EXTRANJERO,correccion_extraccion_recomendada,alta,PDF p. 122: traducción e inscripción registral son dos filas distintas con cifras propias.,Corregir en extracción preservando literal PDF y trazabilidad.,
causas_por_tipo_proceso,5.1.1.1,122,"REGISTRO DE DERECHOS REALES, ASI COMO EN OTROS REGISTROS PÚBLICOS","INSCRIPCIÓN, MODIFICACIÓN, CANCELACIÓN O FUSIÓN DE PARTIDAS EN EL REGISTRO DE DERECHOS REALES, ASI COMO EN OTROS REGISTROS PÚBLICOS",fragmento_confirmado,inicio_multilinea_asignado_a_fila_anterior,"INSCRIPCIÓN, MODIFICACIÓN, CANCELACIÓN O FUSIÓN DE PARTIDAS EN EL REGISTRO DE DERECHOS REALES, ASI COMO EN OTROS REGISTROS PÚBLICOS",correccion_extraccion_recomendada,alta,PDF p. 122: el rótulo registral completo ocupa varias líneas de una única fila.,Corregir en extracción preservando literal PDF y trazabilidad.,
causas_por_tipo_proceso,5.2.1.1,305,BENEFICIOS DEMANDA DE ADQUIRIDOS SOCIALES Y DERECHOS,DEMANDA DE BENEFICIOS SOCIALES Y DERECHOS ADQUIRIDOS,fragmento_confirmado,orden_de_bloques_pdf_intercalado,DEMANDA DE BENEFICIOS SOCIALES Y DERECHOS ADQUIRIDOS,correccion_extraccion_recomendada,alta,PDF p. 305: la fila impresa conserva el orden DEMANDA DE BENEFICIOS SOCIALES Y DERECHOS ADQUIRIDOS.,Corregir en extracción preservando literal PDF y trazabilidad.,
causas_por_tipo_proceso,5.3.2.1,364,PENAL PÙBLICA A INSTANCIA DE PARTE CONTRA LA VIOLENCIA HACIA LA ACCIÓN,ACCIÓN PENAL PÙBLICA A INSTANCIA DE PARTE,fragmento_confirmado,encabezado_padre_intercalado,ACCIÓN PENAL PÙBLICA A INSTANCIA DE PARTE,correccion_extraccion_recomendada,alta,PDF p. 364: la acción es una fila bajo el padre CONTRA LA VIOLENCIA HACIA LA MUJER.,Corregir en extracción preservando literal PDF y trazabilidad.,
causas_por_tipo_proceso,5.3.2.1,362,ANTICORRUPCIÒN ACCIÓN PENAL PÙBLICA A INSTANCIA DE PARTE,ACCIÓN PENAL PÙBLICA A INSTANCIA DE PARTE,fragmento_confirmado,encabezado_padre_adherido,ACCIÓN PENAL PÙBLICA A INSTANCIA DE PARTE,correccion_extraccion_recomendada,alta,"PDF p. 362: ANTICORRUPCIÒN es la celda padre de tres filas, no parte del literal de acción.",Corregir en extracción preservando literal PDF y trazabilidad.,
causas_por_tipo_proceso,6.1.1.1,399,"TRADUCCIÓN DE DOCUMENTO EN IDIOMA EXTRANJERO INSCRIPCIÓN, MODIFICACIÓN, CANCELACIÓN O FUSIÓN DE",TRADUCCIÓN DE DOCUMENTO EN IDIOMA EXTRANJERO,concatenacion_confirmada,inicio_fila_siguiente_adherido,TRADUCCIÓN DE DOCUMENTO EN IDIOMA EXTRANJERO,correccion_extraccion_recomendada,alta,PDF p. 399: traducción e inscripción registral son dos filas distintas con cifras propias.,Corregir en extracción preservando literal PDF y trazabilidad.,
causas_por_tipo_proceso,6.1.1.1,399,"PARTIDAS EN EL REGISTRO DE DERECHOS REALES, ASI COMO EN OTROS REGISTROS PÚBLICOS","INSCRIPCIÓN, MODIFICACIÓN, CANCELACIÓN O FUSIÓN DE PARTIDAS EN EL REGISTRO DE DERECHOS REALES, ASI COMO EN OTROS REGISTROS PÚBLICOS",fragmento_confirmado,inicio_multilinea_asignado_a_fila_anterior,"INSCRIPCIÓN, MODIFICACIÓN, CANCELACIÓN O FUSIÓN DE PARTIDAS EN EL REGISTRO DE DERECHOS REALES, ASI COMO EN OTROS REGISTROS PÚBLICOS",correccion_extraccion_recomendada,alta,PDF p. 399: el rótulo registral completo ocupa varias líneas de una única fila.,Corregir en extracción preservando literal PDF y trazabilidad.,
causas_por_tipo_proceso,6.1.1.1,399,CONCURSALES S,CONCURSALES,fragmento_confirmado,texto_vertical_adherido,CONCURSALES,correccion_extraccion_recomendada,alta,PDF p. 399: la S separada pertenece al rótulo vertical del grupo.,Corregir en extracción preservando literal PDF y trazabilidad.,
