id_fragmento,tabla,cuadro_origen,pagina_pdf,literal_actual,literal_pdf,clasificacion,tipo_elemento,causa,forma_fuente_confirmada,accion_futura,alcance_correccion,decision,confianza,evidencia_pdf,observaciones,apariciones_fuente,revision_origen
F001,apelaciones_por_tipo_proceso,6.1.1.4,431;432;433;436;438,CON CUR SAL ES CONCURSALES,CONCURSALES,fragmento_confirmado,proceso,texto_vertical_adherido,CONCURSALES,corregir_extraccion,correccion_acotada_por_cuadro,confirmado,alta,"PDF pp. 431;432;433;436;438, cuadro(s) 6.1.1.4: la fila fuente es «CONCURSALES»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.",5 apariciones fuente. Caso pendiente comprobado directamente en 3.2b.,5,paso_3_2b
F002,apelaciones_por_tipo_proceso,6.1.1.4,429;430;434;435;437,CONCURSALES CON CUR SAL ES,CONCURSALES,fragmento_confirmado,proceso,texto_vertical_adherido,CONCURSALES,corregir_extraccion,correccion_acotada_por_cuadro,confirmado,alta,"PDF pp. 429;430;434;435;437, cuadro(s) 6.1.1.4: la fila fuente es «CONCURSALES»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.",5 apariciones fuente. Caso pendiente comprobado directamente en 3.2b.,5,paso_3_2b
F003,apelaciones_por_tipo_proceso,6.1.1.3,419;420;421;422;423;424;425;426;427;428,CONCURSALES CON SAL ES,CONCURSALES,fragmento_confirmado,proceso,texto_vertical_adherido,CONCURSALES,corregir_extraccion,correccion_acotada_por_cuadro,confirmado,alta,"PDF pp. 419;420;421;422;423;424;425;426;427;428, cuadro(s) 6.1.1.3: la fila fuente es «CONCURSALES»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.",10 apariciones fuente. Caso ya comprobado en 3.1c; consistencia reconfirmada.,10,paso_3_1c
F004,apelaciones_por_tipo_proceso,5.1.1.3,153,CONCURSALES LES,CONCURSALES,fragmento_confirmado,proceso,texto_vertical_adherido,CONCURSALES,corregir_extraccion,correccion_acotada_por_cuadro,confirmado,alta,"PDF pp. 153, cuadro(s) 5.1.1.3: la fila fuente es «CONCURSALES»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.",1 apariciones fuente. Caso pendiente comprobado directamente en 3.2b.,1,paso_3_2b
F005,apelaciones_por_tipo_proceso,5.1.1;5.1.1.3,143;144;145;146;147;149;150;155;156;158,CONCURSALES O,CONCURSALES,fragmento_confirmado,proceso,texto_vertical_adherido,CONCURSALES,corregir_extraccion,correccion_acotada_por_cuadro,confirmado,alta,"PDF pp. 143;144;145;146;147;149;150;155;156;158, cuadro(s) 5.1.1;5.1.1.3: la fila fuente es «CONCURSALES»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.",10 apariciones fuente. Caso pendiente comprobado directamente en 3.2b.,10,paso_3_2b
F006,apelaciones_por_tipo_proceso,5.1.2.3;5.1.2.4;6.1.2.3;6.1.2.4,200;214;217;469;479;480;481;482;483;484;485;487;488,CONSTITUCIÓN DEL PATRIMONIO FAMILIAR DE,CONSTITUCIÓN DEL PATRIMONIO FAMILIAR,fragmento_confirmado,proceso,texto_vertical_adherido,CONSTITUCIÓN DEL PATRIMONIO FAMILIAR,corregir_extraccion,correccion_acotada_por_cuadro,confirmado,alta,"PDF pp. 200;214;217;469;479;480;481;482;483;484;485;487;488, cuadro(s) 5.1.2.3;5.1.2.4;6.1.2.3;6.1.2.4: la fila fuente es «CONSTITUCIÓN DEL PATRIMONIO FAMILIAR»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.",13 apariciones fuente. Caso pendiente comprobado directamente en 3.2b.,13,paso_3_2b
F007,apelaciones_por_tipo_proceso,5.1.2.3;5.1.2.4;6.1.2.4,199;210;211;212;213;215;216;218;219;486,DE CONSTITUCIÓN DEL PATRIMONIO FAMILIAR,CONSTITUCIÓN DEL PATRIMONIO FAMILIAR,fragmento_confirmado,proceso,texto_vertical_adherido,CONSTITUCIÓN DEL PATRIMONIO FAMILIAR,corregir_extraccion,correccion_acotada_por_cuadro,confirmado,alta,"PDF pp. 199;210;211;212;213;215;216;218;219;486, cuadro(s) 5.1.2.3;5.1.2.4;6.1.2.4: la fila fuente es «CONSTITUCIÓN DEL PATRIMONIO FAMILIAR»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.",10 apariciones fuente. Caso pendiente comprobado directamente en 3.2b.,10,paso_3_2b
F008,apelaciones_por_tipo_proceso,5.1.2.4,220,DE DESACUERDO DE LOS PADRES,DESACUERDO DE LOS PADRES,fragmento_confirmado,proceso,texto_vertical_adherido,DESACUERDO DE LOS PADRES,corregir_extraccion,correccion_acotada_por_cuadro,confirmado,alta,"PDF pp. 220, cuadro(s) 5.1.2.4: la fila fuente es «DESACUERDO DE LOS PADRES»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.",1 apariciones fuente. Caso pendiente comprobado directamente en 3.2b.,1,paso_3_2b
F009,apelaciones_por_tipo_proceso,6.1.1.4,429;430;431;432;433;434;436;437;438,DE EJECUCIÓN COACTIVA DE SUMAS DE DINERO,EJECUCIÓN COACTIVA DE SUMAS DE DINERO,fragmento_confirmado,proceso,texto_vertical_adherido,EJECUCIÓN COACTIVA DE SUMAS DE DINERO,corregir_extraccion,correccion_acotada_por_cuadro,confirmado,alta,"PDF pp. 429;430;431;432;433;434;436;437;438, cuadro(s) 6.1.1.4: la fila fuente es «EJECUCIÓN COACTIVA DE SUMAS DE DINERO»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.",9 apariciones fuente. Caso pendiente comprobado directamente en 3.2b.,9,paso_3_2b
F010,apelaciones_por_tipo_proceso,5.1.2.3;6.1.2.3,201;202;203;204;205;206;207;208;209;470;471;472;473;474;475;476;477;478,DESACUERDO DE LOS PADRES DE,DESACUERDO DE LOS PADRES,fragmento_confirmado,proceso,texto_vertical_adherido,DESACUERDO DE LOS PADRES,corregir_extraccion,correccion_acotada_por_cuadro,confirmado,alta,"PDF pp. 201;202;203;204;205;206;207;208;209;470;471;472;473;474;475;476;477;478, cuadro(s) 5.1.2.3;6.1.2.3: la fila fuente es «DESACUERDO DE LOS PADRES»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.",18 apariciones fuente. Caso ya comprobado en 3.1c; consistencia reconfirmada.,18,paso_3_1c
