tabla_izquierda,tabla_derecha,clave_propuesta,grano_izquierda,grano_derecha,cardinalidad,filas_izquierda,filas_derecha,matches,left_only,right_only,filas_join,factor_expansion,riesgo,decision,observaciones
causas_movimiento,causas_por_gestion,ambito + materia_homologada + gestion,"materia × ámbito en 2023","materia × ámbito × gestión",1:1,44,44,32,12,12,44,1.000000,bajo,join_con_filtro,"Filtrar eje=materia, filas de dato y gestion=2023; los 12 casos sin pareja por lado son los cuatro grupos Anticorrupción/Violencia aún indeterminados en cada ámbito."
causas_movimiento,causas_serie_historica,ambito + gestion,"total de materia × ámbito en 2023","ámbito × gestión",1:1,3,3,3,0,0,3,1.000000,bajo,join_con_filtro,"Relación de control: usar solo totales del eje materia y la gestión 2023; no aporta detalle por materia."
causas_por_gestion,causas_serie_historica,ambito + gestion,"total de materia × ámbito × gestión","ámbito × gestión",1:1,15,15,15,0,0,15,1.000000,bajo,join_con_filtro,"Relación de control: usar totales de causas_por_gestion y limitar ambas tablas a 2019–2023."
causas_movimiento,causas_por_tipo_proceso,ambito + materia_homologada + gestion,"materia × ámbito en 2023","entidad territorial × materia × tipo de proceso",1:N,44,2027,24,20,0,2047,46.522727,alto,join_con_agregacion,"El cruce directo repite el movimiento agregado; requiere agregar procesos a la clave o utilizarlo solo como control."
causas_movimiento,resueltas_por_tipo_proceso,ambito + materia_homologada + gestion,"materia × ámbito en 2023","entidad territorial × materia × tipo de proceso × métrica",1:N,44,23493,26,18,0,23511,534.340909,alto,join_con_agregacion,"Las métricas longitudinales y el detalle territorial producen fan-out masivo; agregar explícitamente antes de unir."
causas_movimiento,apelaciones_por_tipo_proceso,ambito + materia_homologada + gestion,"materia × ámbito en 2023","entidad territorial × materia × tipo de proceso × métrica",1:N,44,32667,15,29,0,32696,743.090909,alto,join_con_agregacion,"Las métricas longitudinales y el detalle territorial producen fan-out masivo; agregar explícitamente antes de unir."
causas_movimiento,ejecucion_por_tipo_proceso,ambito + materia_homologada + gestion,"materia × ámbito en 2023","entidad territorial × materia × tipo de proceso × métrica",1:N,44,8584,10,34,0,8618,195.863636,alto,join_con_agregacion,"La tabla carece de columna gestion aunque pertenece al corte 2023; asignar el año solo como filtro contextual en una futura vista, no en el dato fuente."
causas_movimiento,otros_tramites_por_tipo_proceso,ambito + materia_homologada + gestion,"materia × ámbito en 2023","entidad territorial × materia × tipo de proceso × métrica",1:N,44,4799,18,26,0,4825,109.659091,alto,join_con_agregacion,"El cruce directo repite el movimiento agregado; las métricas deben seleccionarse y agregarse explícitamente."
causas_por_tipo_proceso,resueltas_por_tipo_proceso,ambito + territorio + materia_homologada + tipo_proceso,"entidad territorial × materia × tipo de proceso","entidad territorial × materia × tipo de proceso × métrica",N:M,1997,23403,1753,129,1415,25516,12.777166,critico,join_con_tabla_puente,"La clave semántica no distingue todos los subbloques fuente y la tabla derecha contiene múltiples métricas; conservar la clave técnica y diseñar puente/contexto."
causas_por_tipo_proceso,apelaciones_por_tipo_proceso,ambito + territorio + materia_homologada + tipo_proceso,"entidad territorial × materia × tipo de proceso","entidad territorial × materia × tipo de proceso × métrica",1:N,1997,32515,1584,413,3452,29476,14.760140,alto,join_con_tabla_puente,"Cardinalidad observada 1:N en las claves compartidas, pero faltan contexto de subbloque y selección de métrica para una unión analítica segura."
causas_por_tipo_proceso,ejecucion_por_tipo_proceso,ambito + territorio + materia_homologada + tipo_proceso,"entidad territorial × materia × tipo de proceso","entidad territorial × materia × tipo de proceso × métrica",1:N,1997,8474,1590,407,525,8356,4.184276,alto,join_con_tabla_puente,"Cardinalidad observada 1:N en las claves compartidas; ejecución no posee gestión explícita y requiere contexto/selección de métrica."
causas_por_tipo_proceso,otros_tramites_por_tipo_proceso,ambito + territorio + materia_homologada + tipo_proceso,"entidad territorial × materia × tipo de proceso","entidad territorial × materia × tipo de proceso × métrica",N:M,1997,3752,145,1767,1519,6070,3.039559,critico,join_con_tabla_puente,"Poca cobertura y claves repetidas en ambos lados; no unir sin puente de contexto y definición previa de métricas."
resueltas_por_tipo_proceso,apelaciones_por_tipo_proceso,ambito + territorio + materia_homologada + tipo_proceso,"entidad territorial × materia × tipo de proceso × métrica","entidad territorial × materia × tipo de proceso × métrica",N:M,23403,32515,1606,4541,3137,349161,14.919498,critico,join_con_tabla_puente,"Las columnas-métrica distintas generan productos cartesianos dentro de cada clave semántica."
resueltas_por_tipo_proceso,ejecucion_por_tipo_proceso,ambito + territorio + materia_homologada + tipo_proceso,"entidad territorial × materia × tipo de proceso × métrica","entidad territorial × materia × tipo de proceso × métrica",N:M,23403,8474,1604,4559,455,98767,4.220271,critico,join_con_tabla_puente,"Las columnas-métrica distintas generan productos cartesianos dentro de cada clave semántica."
resueltas_por_tipo_proceso,otros_tramites_por_tipo_proceso,ambito + territorio + materia_homologada + tipo_proceso,"entidad territorial × materia × tipo de proceso × métrica","entidad territorial × materia × tipo de proceso × métrica",N:M,23403,3752,144,20588,1530,77848,3.326411,critico,join_con_tabla_puente,"Cobertura baja y productos cartesianos entre métricas; mantener como hechos separados hasta definir un puente."
apelaciones_por_tipo_proceso,ejecucion_por_tipo_proceso,ambito + territorio + materia_homologada + tipo_proceso,"entidad territorial × materia × tipo de proceso × métrica","entidad territorial × materia × tipo de proceso × métrica",N:M,32515,8474,1609,3030,430,150435,4.626634,critico,join_con_tabla_puente,"Las columnas-métrica distintas generan productos cartesianos dentro de cada clave semántica."
apelaciones_por_tipo_proceso,otros_tramites_por_tipo_proceso,ambito + territorio + materia_homologada + tipo_proceso,"entidad territorial × materia × tipo de proceso × métrica","entidad territorial × materia × tipo de proceso × métrica",no relacionable directamente,32515,3752,0,32515,3752,32515,1.000000,alto,no_recomendado,"No hay claves compartidas bajo el dominio observado de tipo_proceso; no forzar homologaciones nuevas."
ejecucion_por_tipo_proceso,otros_tramites_por_tipo_proceso,ambito + territorio + materia_homologada + tipo_proceso,"entidad territorial × materia × tipo de proceso × métrica","entidad territorial × materia × tipo de proceso × métrica",no relacionable directamente,8474,3752,0,8474,3752,8474,1.000000,alto,no_recomendado,"No hay claves compartidas bajo el dominio observado de tipo_proceso; no forzar homologaciones nuevas."
causas_por_tipo_proceso,juzgados,ambito + territorio,"entidad territorial × materia × tipo de proceso","celda de cuadro × fila × columna",N:M,2027,1148,19,0,37,116169,57.310804,critico,join_con_agregacion,"Cruce geográfico bruto; mezcla categorías, subtotales, totales, población y conciliadores, y no existe relación auditada por materia."
causas_por_tipo_proceso,juzgados,ambito + territorio,"entidad territorial × materia × tipo de proceso","presencia estructural agregada por ámbito × territorio",N:1,2027,19,19,0,0,2027,1.000000,medio,join_con_agregacion,"Simulación de cobertura geográfica tras filtrar componentes auditados y agrupar solo la presencia; no se calculó numero_juzgados_real."
causas_por_tipo_proceso,personal,departamento_derivado,"provincia/distrito × materia × tipo de proceso","distrito × ente",N:M,927,53,9,0,8,4635,5.000000,critico,join_con_filtro,"Vista 14.1.1: cinco entes por departamento y ocho filas sin clave departamental; unirla en crudo multiplica cada causa."
causas_por_tipo_proceso,personal,departamento_derivado,"entidad territorial × materia × tipo de proceso","distrito",N:1,2027,9,9,0,0,2027,1.000000,bajo,join_con_filtro,"Seleccionar filas de dato del cuadro 14.1.3, una por distrito; no sumar con subtotales equivalentes de 14.1.1."
personal,personal_jurisdiccional,gestion,"distrito/ente","categoría nacional de personal",N:M,72,2,1,0,0,144,2.000000,alto,no_recomendado,"Compartir solo el año no expresa una relación semántica; personal_jurisdiccional es un resumen nacional que debe permanecer separado o pivotarse como tal."
causas_movimiento,autoridad_sumariante,departamento/distrito normalizado,"departamento × ámbito en 2023","distrito × cuadro disciplinario",N:M,18,18,9,0,0,36,2.000000,alto,no_recomendado,"La autoridad sumariante describe gestión disciplinaria auxiliar; dos cuadros por distrito y dos ámbitos de movimiento producen fan-out y no aportan una clave causal directa."
