pagina_pdf,cuadro_id,titulo,primeras_lineas,tipo,capitulo,variante_etiqueta,seccion,orden_pagina,paginas_del_cuadro,rango_paginas,n_lineas,n_lineas_datos
1,,,,sin_etiqueta,,,,0,0,,0,0
2,,,,sin_etiqueta,,,,0,0,,0,0
3,,,,vacia,,,,0,0,,0,0
4,,,,sin_etiqueta,,,,0,0,,17,1
5,,,,sin_etiqueta,,,,0,0,,20,0
6,,,,sin_etiqueta,,,,0,0,,16,0
7,,,,sin_etiqueta,,,,0,0,,24,0
8,,,,sin_etiqueta,,,,0,0,,30,0
9,,,,sin_etiqueta,,,,0,0,,40,0
10,,,,sin_etiqueta,,,,0,0,,29,0
11,,,,sin_etiqueta,,,,0,0,,38,0
12,,,,sin_etiqueta,,,,0,0,,36,0
13,,,,sin_etiqueta,,,,0,0,,34,0
14,,,,sin_etiqueta,,,,0,0,,30,0
15,,,,sin_etiqueta,,,,0,0,,35,0
16,,,,sin_etiqueta,,,,0,0,,36,0
17,,,,sin_etiqueta,,,,0,0,,36,0
18,,,,sin_etiqueta,,,,0,0,,34,0
19,,,,sin_etiqueta,,,,0,0,,41,0
20,,,,sin_etiqueta,,,,0,0,,40,0
21,,,,sin_etiqueta,,,,0,0,,33,0
22,,,,sin_etiqueta,,,,0,0,,0,0
23,,,,sin_etiqueta,,,,0,0,,3,0
24,,,,sin_etiqueta,,,,0,0,,0,0
25,1.1.1,CAUSAS / Por: Tipo de Sala / Según : Movimiento Registrado / REMANENTES AL 31-12- CAUSAS RESUELTAS EN CAUSAS PENDIENTES TOTAL AUTOS,PLENA 93 253 346 223 123 312 ¶ CIVIL 6 631 637 637 0 1292 ¶ PENAL 185 1526 1711 1462 249 2065,cuadro,1,Cuadro Nro.,TRIBUNAL SUPREMO DE JUSTICIA DE BOLIVIA,1,1,25,52,7
26,,,,sin_etiqueta,,,,0,0,,0,0
27,,,,sin_etiqueta,,,,0,0,,2,0
28,,,,sin_etiqueta,,,,0,0,,0,0
29,2.1.1.1,CAUSAS / Por: Instancia / Según : Movimiento Registrado,ATENDIDAS AL 31/12/2023 ¶ TRIBUNAL AGROAMBIENTAL 0 236 594 830 564 266 ¶ JUZGADOS AGROAMBIENTALES 63 1484 7315 8799 7133 1666,cuadro,2,Cuadro Nro.,TRIBUNAL AGROAMBIENTAL,1,1,29,27,5
30,2.1.1.2,CAUSAS / Por: Distrito de Origen y Tipo de Proceso / Según: Movimiento Registrado / INGRESADAS POR,CASACIÓN Y/O NULIDAD 3 0 28 31 30 1 ¶ COMPULSA 0 0 2 2 2 0 ¶ CONFLICTO DE COMPETENCIA 0 0 0 0 0 0,cuadro,2,Cuadro Nro.,Tribunal Agroambiental,1,5,30-34,34,20
31,2.1.1.2,CAUSAS / Por: Distrito de Origen y Tipo de Proceso / Según: Movimiento Registrado / INGRESADAS POR,CASACIÓN Y/O NULIDAD 1 2 84 87 78 9 ¶ COMPULSA 1 0 8 9 9 0 ¶ CONFLICTO DE COMPETENCIA 0 0 0 0 0 0,cuadro,2,Cuadro Nro.,Tribunal Agroambiental,2,5,30-34,34,20
32,2.1.1.2,CAUSAS / Por: Distrito de Origen y Tipo de Proceso / Según: Movimiento Registrado / INGRESADAS POR,CASACIÓN Y/O NULIDAD 0 0 22 22 18 4 ¶ COMPULSA 0 0 0 0 0 0 ¶ CONFLICTO DE COMPETENCIA 0 0 0 0 0 0,cuadro,2,Cuadro Nro.,Tribunal Agroambiental,3,5,30-34,34,20
33,2.1.1.2,CAUSAS / Por: Distrito de Origen y Tipo de Proceso / Según: Movimiento Registrado / INGRESADAS POR,CASACIÓN Y/O NULIDAD 18 2 54 74 66 8 ¶ COMPULSA 0 0 3 3 3 0 ¶ CONFLICTO DE COMPETENCIA 0 0 0 0 0 0,cuadro,2,Cuadro Nro.,Tribunal Agroambiental,4,5,30-34,34,20
34,2.1.1.2,CAUSAS / Por: Distrito de Origen y Tipo de Proceso / Según: Movimiento Registrado / INGRESADAS POR,CASACIÓN Y/O NULIDAD 0 0 7 7 6 1 ¶ COMPULSA 0 0 0 0 0 0 ¶ CONFLICTO DE COMPETENCIA 0 0 0 0 0 0,cuadro,2,Cuadro Nro.,Tribunal Agroambiental,5,5,30-34,34,20
