cuadro_origen,pagina_pdf,departamento,columna,fragmentos_encabezado
4.1.1,109,CIUDADES CAPITALES Y EL ALTO,col_01,"TRIBUNALES, SUCRE Sustancias Adolescencia Violencia materia."
4.1.1,109,CIUDADES CAPITALES Y EL ALTO,col_02,SALAS Y LA PAZ la Mujer
4.1.1,109,CIUDADES CAPITALES Y EL ALTO,col_03,CONCILIADORES ALTO Anticorrupción
4.1.1,109,CIUDADES CAPITALES Y EL ALTO,col_04,CIUDADES COCHABAM 1 BA
4.1.1,109,CIUDADES CAPITALES Y EL ALTO,col_05,CAPITALES ORURO 48
4.1.1,109,CIUDADES CAPITALES Y EL ALTO,col_06,DEPARTAMENTO POTOSÍ 39
4.1.1,109,CIUDADES CAPITALES Y EL ALTO,col_07,Y EL TARIJA 42
4.1.1,109,CIUDADES CAPITALES Y EL ALTO,col_08,DE LA SANTA CRUZ 133
4.1.1,109,CIUDADES CAPITALES Y EL ALTO,col_09,TRINIDAD 31
4.1.1,109,CIUDADES CAPITALES Y EL ALTO,col_10,COBIJA 21
4.1.1,109,CIUDADES CAPITALES Y EL ALTO,col_11,TOTAL
4.1.2,110,CHUQUISACA,col_01,CHUQUISACA: Y CONCILIADORES POBLACIÓN PROYECTADA AL 2022
4.1.2,110,CHUQUISACA,col_02,NÚMERO JUZGADO DE INSTRUCCIÓ PENAL
4.1.2,110,CHUQUISACA,col_03,DE JUZGADO PÚBLICO CIVIL COMERCIAL
4.1.2,110,CHUQUISACA,col_04,"JUZGADOS, JUZGADO PÚBLICO MIXTO"
4.1.2,110,CHUQUISACA,col_05,TRIBUNALES JUZGADO PÚBLICO MIXTO INSTRUCCIÓ PENAL
4.1.2,110,CHUQUISACA,col_06,Y TIPOS JUZGADO PÚBLICO MIXTO PARTIDO INSTRUCCIÓ PENAL
4.1.2,110,CHUQUISACA,col_07,CONCILIADORES JUZGADOS JUZGADO PÚBLICO MIXTO PARTIDO DE SENTENCIA PENAL
4.1.2,110,CHUQUISACA,col_08,"JUZGADO SENTENCIA, PUBLICO TRABAJO"
4.1.2,110,CHUQUISACA,col_09,PROVINCIAS TRIBUNAL DE SENTENCIA (Nominal)
4.1.2,110,CHUQUISACA,col_10,EJECUCION PENAL
4.1.2,110,CHUQUISACA,col_11,CONCILIAD OR
4.1.2,110,CHUQUISACA,col_12,JUZGADO AGROAMBIE NTAL
4.1.2,110,CHUQUISACA,col_13,TOTALES 62
4.1.3,111,LA PAZ,col_01,LA PAZ: TRIBUNALES POBLACIÓN PROYECTADA 2022
4.1.3,111,LA PAZ,col_02,NÚMERO JUZGADO INSTRUCCIÓN PENAL
4.1.3,111,LA PAZ,col_03,DE CONCILIADORES JUZGADO PÚBLICO MIXTO
4.1.3,111,LA PAZ,col_04,"JUZGADOS, JUZGADO PÚBLICO MIXTO INSTRUCCIÓN PENAL"
4.1.3,111,LA PAZ,col_05,TRIBUNALES JUZGADO PÚBLICO PARTIDO INSTRUCCIÓN PENAL
4.1.3,111,LA PAZ,col_06,CONCILIADORES TIPO DE JUZGADO PÚBLICO MIXTO PARTIDO SENTENCIA PENAL
4.1.3,111,LA PAZ,col_07,"JUZGADO JUZGADO SENTENCIA, PUBLICO, TRABAJO TÉCNICO"
4.1.3,111,LA PAZ,col_08,PROVINCIAS TRIBUNAL DE SENTENCIA
4.1.3,111,LA PAZ,col_09,TRIBUNAL SENTENCIA AMPLIACION COMPETENCIAS
4.1.3,111,LA PAZ,col_10,CONCILIADO R
4.1.3,111,LA PAZ,col_11,JUZGADO AGROAMBIEN TAL
4.1.3,111,LA PAZ,col_12,TOTA LES
4.1.4,112,COCHABAMBA,col_01,TRIBUNALES Tribunal POBLACIÓN PROYECTADA AL 2022
4.1.4,112,COCHABAMBA,col_02,JUZGADO DE INSTRUCCIÓ PENAL
4.1.4,112,COCHABAMBA,col_03,JUZGADO PÚBLICO NIÑEZ ADOLESCE NCIA
4.1.4,112,COCHABAMBA,col_04,COCHABAMBA: CONCILIADORES JUZGADO PÚBLICO FAMILIA
4.1.4,112,COCHABAMBA,col_05,NÚMERO JUZGADO PÚBLICO CIVIL COMERCIAL
4.1.4,112,COCHABAMBA,col_06,JUZGADO PÚBLICO MIXTO
4.1.4,112,COCHABAMBA,col_07,"JUZGADOS, JUZGADO PÚBLICO MIXTO INSTRUCCIÓ PENAL"
4.1.4,112,COCHABAMBA,col_08,TRIBUNALES JUZGADO PÚBLICO MIXTO DE SENTENCIA PENAL
4.1.4,112,COCHABAMBA,col_09,TIPO JUZGADO PÚBLICO MIXTO PARTIDO INSTRUCCIÓ PENAL
4.1.4,112,COCHABAMBA,col_10,JUZGADO JUZGADO PÚBLICO MIXTO PARTIDO DE SENTENCIA PENAL
4.1.4,112,COCHABAMBA,col_11,CONCILIADORES JUZGADO PARTIDO MIXTO SENTENCIA
4.1.4,112,COCHABAMBA,col_12,EN JUZGADO PARTIDO DEL TRABAJO SEGURIDAD SOCIAL
4.1.4,112,COCHABAMBA,col_13,PROVINCIAS JUZGADO SENTENCIA
4.1.4,112,COCHABAMBA,col_14,"JUZGADO SENTENCI A, PUBLICO, TRABAJO JUEZ TÉCNICO"
4.1.4,112,COCHABAMBA,col_15,TRIBUNAL DE SENTENCIA CON AMPLIACIO DE COMPETEN CIAS
4.1.4,112,COCHABAMBA,col_16,TRIBUNAL DE SENTENCIA
4.1.4,112,COCHABAMBA,col_17,CONCILI ADOR
4.1.4,112,COCHABAMBA,col_18,JUZGAD O AGROA MBIENT AL
4.1.4,112,COCHABAMBA,col_19,TOTALES
4.1.5,113,ORURO,col_01,NÚMERO DE CONCILIADORES POBLACIÓN PROYECTADA AL 2022
4.1.5,113,ORURO,col_02,"JUZGADOS, JUZGADO PÚBLICO MIXTO INSTRUCCIÓN PENAL"
4.1.5,113,ORURO,col_03,TRIBUNALES JUZGADO PÚBLICO MIXTO PARTIDO INSTRUCCIÓN PENAL
4.1.5,113,ORURO,col_04,JUZGADO PÚBLICO MIXTO PARTIDO SENTENCIA PENAL
4.1.5,113,ORURO,col_05,"CONCILIADORES JUZGADOS JUZGADO SENTENCIA, PUBLICO TRABAJO"
4.1.5,113,ORURO,col_06,PROVINCIAS TRIBUNAL SENTENCIA (Nominal)
4.1.5,113,ORURO,col_07,CONCILIADOR
4.1.5,113,ORURO,col_08,JUZGADO AGROAMBIEN TAL
4.1.5,113,ORURO,col_09,TOTALES
4.1.6,114,POTOSI,col_01,POTOSI: TRIBUNALES Y POBLACIÓN PROYECTAD A 2022
4.1.6,114,POTOSI,col_02,NÚMERO CONCILIADORES JUZGADO INSTRUCCIÓN PENAL
4.1.6,114,POTOSI,col_03,DE JUZGADO PÚBLICO FAMILIA
4.1.6,114,POTOSI,col_04,"JUZGADOS, JUZGADO PÚBLICO COMERCIAL"
4.1.6,114,POTOSI,col_05,TRIBUNALES JUZGADO PÚBLICO MIXTO INSTRUCCIÓN PENAL
4.1.6,114,POTOSI,col_06,CONCILIADORES TIPO DE JUZGADO PÚBLICO MIXTO SENTENCIA PENAL
4.1.6,114,POTOSI,col_07,JUZGADO JUZGADO PÚBLICO MIXTO PARTIDO SENTENCIA PENAL
4.1.6,114,POTOSI,col_08,"PROVINCIAS JUZGADO SENTENCIA, PUBLICO, TRABAJO TÉCNICO"
4.1.6,114,POTOSI,col_09,TRIBUNAL SENTENCIA (Nominal)
4.1.6,114,POTOSI,col_10,CONCILI ADOR
4.1.6,114,POTOSI,col_11,JUZGADO AGROAMBIEN TAL
4.1.6,114,POTOSI,col_12,TOTALES
4.1.7,115,TARIJA,col_01,"JUZGADOS, TRIBUNALES Tribunal POBLACIÓ N PROYECTA DA 2022"
4.1.7,115,TARIJA,col_02,JUZGADO DE INSTRUCCI PENAL
4.1.7,115,TARIJA,col_03,TARIJA: JUZGADO PÚBLICO FAMILIA
4.1.7,115,TARIJA,col_04,NÚMERO CONCILIADORES JUZGADO PÚBLICO CIVIL COMERCIA L
4.1.7,115,TARIJA,col_05,"JUZGADOS, JUZGADO PÚBLICO MIXTO"
4.1.7,115,TARIJA,col_06,JUZGADO PÚBLICO MIXTO INSTRUCCI PENAL
4.1.7,115,TARIJA,col_07,TRIBUNALES JUZGADO PÚBLICO MIXTO PARTIDO INSTRUCCI PENAL
4.1.7,115,TARIJA,col_08,CONCILIADORES DE JUZGADO PÚBLICO MIXTO PARTIDO DE SENTENCIA PENAL
4.1.7,115,TARIJA,col_09,JUZGADO JUZGADO SENTENCIA /ANTI.VIOL ENCIA
4.1.7,115,TARIJA,col_10,"EN JUZGADO SENTENCIA PUBLICO, TRABAJO JUEZ TÉCNICO"
4.1.7,115,TARIJA,col_11,PROVINCIAS TRIBUNAL DE SENTENCIA CON AMPLIACIO DE COMPETEN CIAS
4.1.7,115,TARIJA,col_12,TRIBUNAL DE SENTENCIA
4.1.7,115,TARIJA,col_13,EJECUC IÓN PENAL
4.1.7,115,TARIJA,col_14,CONCILI ADOR
4.1.7,115,TARIJA,col_15,JUZGADO AGROAMBI ENTAL
4.1.7,115,TARIJA,col_16,TOTALES
4.1.8,116,SANTA CRUZ,col_01,"TRIBUNALES Y POBLACIÓN PROYECTAD A AL 2022 de Yapacani, Camiri, tiene de Puerto Suarez,"
4.1.8,116,SANTA CRUZ,col_02,CONCILIADORES JUZGADO DE INSTRUCCI PENAL tiene competencia
4.1.8,116,SANTA CRUZ,col_03,SANTA JUZGADO PÚBLICO FAMILIA competencia en competencia
4.1.8,116,SANTA CRUZ,col_04,NÚMERO JUZGADO PÚBLICO CIVIL COMERCIAL materia materia de en materia
4.1.8,116,SANTA CRUZ,col_05,DE JUZGADO PÚBLICO MIXTO Partido Instrucción de
