identidad,cuadro_origen,pagina_pdf,entidad,calculado,publicado,diferencia,detalle
atendidas = pendientes_inicio + ingresadas,9.1.1,673,PARTIDO DE TRABAJO Y SEGURIDAD SOCIAL,44993.0,44992.0,1.0,9.1.x movimiento
atendidas = pendientes_inicio + ingresadas,9.1.1,673,NACIONAL CAPITAL,523954.0,523953.0,1.0,9.1.x movimiento
atendidas = pendientes_inicio + ingresadas,9.1.3,680,El Alto,60956.0,60955.0,1.0,9.1.x movimiento
atendidas = pendientes_inicio + ingresadas,9.1.3,680,NACIONAL,523954.0,523953.0,1.0,9.1.x movimiento
atendidas = pendientes_inicio + ingresadas,9.1.9,701,PARTIDO DE TRABAJO Y SEGURIDAD SOCIAL,51342.0,51341.0,1.0,9.1.x movimiento
atendidas = pendientes_inicio + ingresadas,9.1.9,701,NACIONAL CAPITAL Y PROVINCIAS,738842.0,738841.0,1.0,9.1.x movimiento
atendidas = pendientes_inicio + ingresadas,9.1.11,708,La Paz,187065.0,187064.0,1.0,9.1.x movimiento
atendidas = pendientes_inicio + ingresadas,9.1.11,708,NACIONAL,738842.0,738841.0,1.0,9.1.x movimiento
atendidas = pendientes_inicio + ingresadas,9.1.4,684,2019,491190.0,491266.0,-76.0,9.1.x histórico
atendidas = pendientes_inicio + ingresadas,9.1.4,684,2022,506463.0,506465.0,-2.0,9.1.x histórico
atendidas = resueltas + pendientes_fin,9.1.4,684,2022,506464.0,506465.0,-1.0,9.1.x histórico
atendidas = pendientes_inicio + ingresadas,9.1.4,684,2023,523954.0,523953.0,1.0,9.1.x histórico
atendidas = resueltas + pendientes_fin,9.1.8,698,2018,174653.0,174625.0,28.0,9.1.x histórico
atendidas = pendientes_inicio + ingresadas,9.1.8,698,2019,203663.0,203657.0,6.0,9.1.x histórico
atendidas = resueltas + pendientes_fin,9.1.8,698,2019,203652.0,203657.0,-5.0,9.1.x histórico
atendidas = resueltas + pendientes_fin,9.1.12,712,2018,683244.0,683216.0,28.0,9.1.x histórico
atendidas = pendientes_inicio + ingresadas,9.1.12,712,2019,694853.0,694923.0,-70.0,9.1.x histórico
atendidas = resueltas + pendientes_fin,9.1.12,712,2019,694918.0,694923.0,-5.0,9.1.x histórico
atendidas = pendientes_inicio + ingresadas,9.1.12,712,2022,715909.0,715911.0,-2.0,9.1.x histórico
atendidas = resueltas + pendientes_fin,9.1.12,712,2022,715910.0,715911.0,-1.0,9.1.x histórico
atendidas = pendientes_inicio + ingresadas,9.1.12,712,2023,738842.0,738841.0,1.0,9.1.x histórico
9.1.1 + 9.1.5 = 9.1.9,9.1.9,701,PARTIDO ADMINISTRATIVO COACTIVO FISCAL Y TRIBUTARIO,,,,la materia no está en los tres cuadros; no se compara
atendidas = formas de salida + pendientes,5.3.3.1,376,POTOSI / TOTAL POTOSÍ,327.0,445.0,-118.0,capítulos 5 y 6
atendidas = formas de salida + pendientes,5.3.2.1,362,COCHABAMBA / ACCIÓN PENAL PÙBLICA,2512.0,94.0,2418.0,capítulos 5 y 6
atendidas = formas de salida + pendientes,5.3.2.1,362,COCHABAMBA / ACCIÓN PENAL PÙBLICA A INSTANCIA DE PARTE,41.0,0.0,41.0,capítulos 5 y 6
atendidas = formas de salida + pendientes,5.3.2.1,362,COCHABAMBA / ACCIÓN PENAL PRIVADA,630.0,0.0,630.0,capítulos 5 y 6
atendidas = formas de salida + pendientes,5.3.2.1,362,COCHABAMBA / TOTAL COCHABAMBA,11320.0,8231.0,3089.0,capítulos 5 y 6
atendidas = formas de salida + pendientes,5.2.2.1,334,ORURO / CONTENCIOSO TRIBUTARIO,13.0,223.0,-210.0,capítulos 5 y 6
atendidas = formas de salida + pendientes,5.2.2.1,334,ORURO / TOTAL ORURO,131.0,341.0,-210.0,capítulos 5 y 6
TOTAL EL ALTO = suma de tipos de proceso (conciliacion),5.1.2.2,190,EL ALTO,655.0,0.0,655.0,"capítulos 5 y 6, familia resueltas"
TOTAL COBIJA = suma de tipos de proceso (ciudades_tipo_accion_sentencia_procesamiento),5.3.2.3,370,COBIJA,39.0,0.0,39.0,"capítulos 5 y 6, familia resueltas"
TOTAL COBIJA = suma de tipos de proceso (competencias_excusa),5.3.2.3,370,COBIJA,10.0,0.0,10.0,"capítulos 5 y 6, familia resueltas"
TOTAL COBIJA = suma de tipos de proceso (conciliacion),5.3.2.3,370,COBIJA,17.0,0.0,17.0,"capítulos 5 y 6, familia resueltas"
TOTAL COBIJA = suma de tipos de proceso (criterio_oportunidad),5.3.2.3,370,COBIJA,8.0,0.0,8.0,"capítulos 5 y 6, familia resueltas"
TOTAL COBIJA = suma de tipos de proceso (desestimacion_demanda_juez),5.3.2.3,370,COBIJA,3.0,0.0,3.0,"capítulos 5 y 6, familia resueltas"
TOTAL COBIJA = suma de tipos de proceso (desistimiento),5.3.2.3,370,COBIJA,1.0,0.0,1.0,"capítulos 5 y 6, familia resueltas"
TOTAL COBIJA = suma de tipos de proceso (e_declinatoria_inhibitoria),5.3.2.3,370,COBIJA,15.0,0.0,15.0,"capítulos 5 y 6, familia resueltas"
TOTAL COBIJA = suma de tipos de proceso (otras_formas_extincion_accion),5.3.2.3,370,COBIJA,45.0,0.0,45.0,"capítulos 5 y 6, familia resueltas"
TOTAL COBIJA = suma de tipos de proceso (sentencia_procesamiento_privado),5.3.2.3,370,COBIJA,110.0,0.0,110.0,"capítulos 5 y 6, familia resueltas"
TOTAL COBIJA = suma de tipos de proceso (suspension_condicional_proceso),5.3.2.3,370,COBIJA,32.0,0.0,32.0,"capítulos 5 y 6, familia resueltas"
TOTAL POTOSI = suma de tipos de proceso (extincion_inactivida_d),6.1.1.2,413,POTOSI,167.0,168.0,-1.0,"capítulos 5 y 6, familia resueltas"
TOTAL POTOSI = suma de tipos de proceso (totales),6.1.1.2,413,POTOSI,3605.0,3606.0,-1.0,"capítulos 5 y 6, familia resueltas"
TOTAL SANTA CRUZ = suma de tipos de proceso (no_presenta_do),6.1.1.2,415,SANTA CRUZ,458.0,460.0,-2.0,"capítulos 5 y 6, familia resueltas"
TOTAL SANTA CRUZ = suma de tipos de proceso (totales),6.1.1.2,415,SANTA CRUZ,5183.0,5813.0,-630.0,"capítulos 5 y 6, familia resueltas"
TOTAL CHUQUISACA = suma de tipos de proceso (otros),6.1.2.2,459,CHUQUISACA,83.0,0.0,83.0,"capítulos 5 y 6, familia resueltas"
TOTAL LA PAZ = suma de tipos de proceso (recursos_apelacion_efecto_devolutivo_nuevos),5.1.1,155,LA PAZ,970.0,0.0,970.0,"capítulos 5 y 6, familia apelacion"
TOTAL SANTA CRUZ = suma de tipos de proceso (confirma_das_totalmen),5.1.2.3,206,SANTA CRUZ,32.0,0.0,32.0,"capítulos 5 y 6, familia apelacion"
TOTAL SUCRE = suma de tipos de proceso (confirmadas_totalmente),5.1.2.4,210,SUCRE,66.0,0.0,66.0,"capítulos 5 y 6, familia apelacion"
TOTAL SUCRE = suma de tipos de proceso (nuevos_generados_juzgado),5.1.2.4,210,SUCRE,175.0,0.0,175.0,"capítulos 5 y 6, familia apelacion"
TOTAL TOTAL = suma de tipos de proceso (ciudades_juzgados_formas_resolucion_numero),5.1.3.9,302,TOTAL,0.0,26.0,-26.0,"capítulos 5 y 6, familia apelacion"
TOTAL TOTAL = suma de tipos de proceso (numero_juzgados),5.3.1.5,361,TOTAL,0.0,108.0,-108.0,"capítulos 5 y 6, familia apelacion"
TOTAL TOTAL NACIONAL = suma de tipos de proceso (numero_juzgados),5.3.2.6,374,TOTAL NACIONAL,0.0,118.0,-118.0,"capítulos 5 y 6, familia apelacion"
TOTAL TOTAL NACIONAL = suma de tipos de proceso (numero_tribunales),5.3.3.5,387,TOTAL NACIONAL,0.0,32.0,-32.0,"capítulos 5 y 6, familia apelacion"
TOTAL CHUQUISACA = suma de tipos de proceso (nuevos_generados_juzgado),6.1.2.4,479,CHUQUISACA,6.0,0.0,6.0,"capítulos 5 y 6, familia apelacion"
TOTAL TOTAL = suma de tipos de proceso (numero_juzgados),6.3.1.6,624,TOTAL,0.0,163.0,-163.0,"capítulos 5 y 6, familia apelacion"
TOTAL TOTAL NACIONAL = suma de tipos de proceso (numero_juzgados),6.3.2.6,637,TOTAL NACIONAL,0.0,99.0,-99.0,"capítulos 5 y 6, familia apelacion"
TOTAL TOTAL NACIONAL = suma de tipos de proceso (numero_tribunales),6.3.3.6,650,TOTAL NACIONAL,0.0,35.0,-35.0,"capítulos 5 y 6, familia apelacion"
total nacional de 5.1.3.2 = 9.1.1 (pendientes_inicio),5.1.3.2,250,PÚBLICO NIÑEZ Y ADOLESCENCIA,2575.0,3846.0,-1271.0,cruce entre capítulos
total nacional de 5.1.3.2 = 9.1.1 (ingresadas),5.1.3.2,250,PÚBLICO NIÑEZ Y ADOLESCENCIA,6912.0,8549.0,-1637.0,cruce entre capítulos
total nacional de 5.1.3.2 = 9.1.1 (atendidas),5.1.3.2,250,PÚBLICO NIÑEZ Y ADOLESCENCIA,9487.0,12395.0,-2908.0,cruce entre capítulos
total nacional de 5.1.3.2 = 9.1.1 (resueltas),5.1.3.2,250,PÚBLICO NIÑEZ Y ADOLESCENCIA,6629.0,8368.0,-1739.0,cruce entre capítulos
total nacional de 5.1.3.2 = 9.1.1 (pendientes_fin),5.1.3.2,250,PÚBLICO NIÑEZ Y ADOLESCENCIA,2858.0,4027.0,-1169.0,cruce entre capítulos
total nacional de 6.1.3.2 = 9.1.5 (pendientes_inicio),6.1.3.2,515,PÚBLICO NIÑEZ Y ADOLESCENCIA,1403.0,2251.0,-848.0,cruce entre capítulos
total nacional de 6.1.3.2 = 9.1.5 (ingresadas),6.1.3.2,515,PÚBLICO NIÑEZ Y ADOLESCENCIA,2634.0,3613.0,-979.0,cruce entre capítulos
total nacional de 6.1.3.2 = 9.1.5 (atendidas),6.1.3.2,515,PÚBLICO NIÑEZ Y ADOLESCENCIA,4037.0,5864.0,-1827.0,cruce entre capítulos
total nacional de 6.1.3.2 = 9.1.5 (resueltas),6.1.3.2,515,PÚBLICO NIÑEZ Y ADOLESCENCIA,2477.0,3344.0,-867.0,cruce entre capítulos
total nacional de 6.1.3.2 = 9.1.5 (pendientes_fin),6.1.3.2,515,PÚBLICO NIÑEZ Y ADOLESCENCIA,1560.0,2520.0,-960.0,cruce entre capítulos
total nacional de 5.2.1.1 = 9.1.1 (atendidas),5.2.1.1,308,PARTIDO DE TRABAJO Y SEGURIDAD SOCIAL,44993.0,44992.0,1.0,cruce entre capítulos
total nacional de 5.2.1.1 = 9.1.1 (pendientes_fin),5.2.1.1,308,PARTIDO DE TRABAJO Y SEGURIDAD SOCIAL,24196.0,24195.0,1.0,cruce entre capítulos
total nacional de 5.3.1.1 = 9.1.1 (pendientes_inicio),5.3.1.1,350,INSTRUCCIÓN ANTICORRUPCIÓN,1715.0,2335.0,-620.0,cruce entre capítulos
total nacional de 5.3.1.1 = 9.1.1 (ingresadas),5.3.1.1,350,INSTRUCCIÓN ANTICORRUPCIÓN,1606.0,2066.0,-460.0,cruce entre capítulos
total nacional de 5.3.1.1 = 9.1.1 (atendidas),5.3.1.1,350,INSTRUCCIÓN ANTICORRUPCIÓN,3321.0,4401.0,-1080.0,cruce entre capítulos
total nacional de 5.3.1.1 = 9.1.1 (pendientes_fin),5.3.1.1,350,INSTRUCCIÓN ANTICORRUPCIÓN,1756.0,2461.0,-705.0,cruce entre capítulos
