materia_cruda,cuadros,paginas,materia_norm,grupo_sugerido,grupo_manual
EJECUCIÓN PENAL,9.1.1 9.1.5 9.1.9,673 687 701,EJECUCIÓN PENAL,EJECUCIONPENAL,
Ejecución Penal,9.1.10 9.1.2 9.1.6,677 691 705,Ejecución Penal,EJECUCIONPENAL,
INSTRUCCIÓN ANTICORRUPCIÓN,9.1.1 9.1.5 9.1.9,673 687 701,INSTRUCCIÓN ANTICORRUPCIÓN,INSTRUCCIONANTICORRUPCION,
INSTRUCCÓN CONTRA LA VIOLENCIA HACIA LA MUJER,9.1.1 9.1.5 9.1.9,673 687 701,INSTRUCCIÓN CONTRA LA VIOLENCIA HACIA LA MUJER,,
INSTRUCCIÓN PENAL,9.1.1 9.1.5 9.1.9,673 687 701,INSTRUCCIÓN PENAL,INSTRUCCIONPENAL,
Instrucción Anticorrupción,9.1.10 9.1.2 9.1.6,677 691 705,Instrucción Anticorrupción,INSTRUCCIONANTICORRUPCION,
Instrucción Contra la Violencia hacia las Mujeres,9.1.10 9.1.2 9.1.6,677 691 705,Instrucción Contra la Violencia hacia las Mujeres,,
Instrucción Penal,9.1.10 9.1.2 9.1.6,677 691 705,Instrucción Penal,INSTRUCCIONPENAL,
PARTIDO ADMINISTRATIVO COACTIVO FISCAL Y TRIBUTARIO,9.1.1 9.1.9,673 701,PARTIDO ADMINISTRATIVO COACTIVO FISCAL Y TRIBUTARIO,,
PARTIDO DE TRABAJO Y SEGURIDAD SOCIAL,9.1.1 9.1.5 9.1.9,673 687 701,PARTIDO DE TRABAJO Y SEGURIDAD SOCIAL,,
"Partido Administrativo, Coactivo Fiscal",9.1.10 9.1.2,677 705,"Partido Administrativo, Coactivo Fiscal",,
Partido Trabajo y Seguridad Social,9.1.10 9.1.2 9.1.6,677 691 705,Partido Trabajo y Seguridad Social,,
PÚBLICO CIVIL Y COMERCIAL,9.1.1 9.1.5 9.1.9,673 687 701,PÚBLICO CIVIL Y COMERCIAL,PUBLICOCIVILYCOMERCIAL,
PÚBLICO DE FAMILIA,9.1.1 9.1.5 9.1.9,673 687 701,PÚBLICO DE FAMILIA,PUBLICODEFAMILIA,
PÚBLICO NIÑEZ Y ADOLESCENCIA,9.1.1 9.1.5 9.1.9,673 687 701,PÚBLICO NIÑEZ Y ADOLESCENCIA,PUBLICONINEZYADOLESCENCIA,
Público Civil y Comercial,9.1.10 9.1.2 9.1.6,677 691 705,Público Civil y Comercial,PUBLICOCIVILYCOMERCIAL,
Público Niñez y Adolescencia,9.1.10 9.1.2 9.1.6,677 691 705,Público Niñez y Adolescencia,PUBLICONINEZYADOLESCENCIA,
Público de Familia,9.1.10 9.1.2 9.1.6,677 691 705,Público de Familia,PUBLICODEFAMILIA,
SENTENCIA ANTICORRUPCIÓN,9.1.1 9.1.5 9.1.9,673 687 701,SENTENCIA ANTICORRUPCIÓN,SENTENCIAANTICORRUPCION,
SENTENCIA CONTRA LA VIOLENCIA HACIA LA MUJER,9.1.1 9.1.5 9.1.9,673 687 701,SENTENCIA CONTRA LA VIOLENCIA HACIA LA MUJER,,
SENTENCIA PENAL,9.1.1 9.1.5 9.1.9,673 687 701,SENTENCIA PENAL,SENTENCIAPENAL,
Sentencia Anticorrupción,9.1.10 9.1.2 9.1.6,677 691 705,Sentencia Anticorrupción,SENTENCIAANTICORRUPCION,
Sentencia Penal,9.1.10 9.1.2 9.1.6,677 691 705,Sentencia Penal,SENTENCIAPENAL,
Sentencia Violencia C M.,9.1.10,705,Sentencia Violencia C M.,,
Sentencia Violencia Contra la Violencia hacia las Mujeres,9.1.2 9.1.6,677 691,Sentencia Violencia Contra la Violencia hacia las Mujeres,,
TRIBUNAL DE SENTENCIA ANTICORRUPCIÓN,9.1.1 9.1.5 9.1.9,673 687 701,TRIBUNAL DE SENTENCIA ANTICORRUPCIÓN,,
TRIBUNAL DE SENTENCIA CONTRA LA VIOLENCIA HACIA LA MUJER,9.1.1 9.1.5 9.1.9,673 687 701,TRIBUNAL DE SENTENCIA CONTRA LA VIOLENCIA HACIA LA MUJER,,
TRIBUNAL DE SENTENCIA PENAL,9.1.1 9.1.5 9.1.9,673 687 701,TRIBUNAL DE SENTENCIA PENAL,,
Tribunales de Sentencia Anticorrupción,9.1.10 9.1.2 9.1.6,677 691 705,Tribunales de Sentencia Anticorrupción,,
Tribunales de Sentencia Contra la Violencia hacia las Mujeres,9.1.10 9.1.2 9.1.6,677 691 705,Tribunales de Sentencia Contra la Violencia hacia las Mujeres,,
Tribunales de Sentencia Penal,9.1.10 9.1.2 9.1.6,677 691 705,Tribunales de Sentencia Penal,,
