cuadro_origen,pagina_pdf,etiqueta,valores
9.1.2,677,JUZGADOS,496 | 573 | 573 | 593 | 640
9.1.2,677,MEDIA DE CAUSAS RESUELTAS POR CADA JUZGADO,476 | 321 | 416 | 466 | 429
9.1.2,677,TASA DE VARIACIÓN ANUAL,"-11,88% | -22,06% | 29,77% | 5,00% | 9,73%"
9.1.6,691,JUZGADOS,351 | 351 | 351 | 416 | 411
9.1.6,691,MEDIA DE CAUSAS RESUELTAS POR CADA JUZGADO,292 | 222 | 269 | 242 | 261
9.1.6,691,TASA DE VARIACIÓN ANUAL,"19,93% | -24,05% | 21,21% | 6,45% | 6,85%"
9.1.10,705,CANTIDAD DE JUZGADOS,924 | 924 | 924 | 1.009 | 1.051
9.1.10,705,MEDIA DE CAUSAS RESUELTAS POR JUZGADO,387 | 283 | 360 | 348 | 364
9.1.10,705,TASA DE VARIACIÓN ANUAL DE CAUSAS RESUELTAS (DESEMPEÑO),"6,7% | -26,9% | 27,2% | 5,4% | 8,9%"
9.1.4,684,VARIACIÓN ABSOLUTA DE LA GESTIÓN - 4.604 22.095 17.488 24.392 -,"6.903 | 0,3%"
9.1.4,684,VARIACIÓN RELATIVA DE LA GESTIÓN,"-1,9% | 8,5% | 3,5% | 9,7% | -2,7% | 0,7%"
9.1.4,684,VARIACIÓN PROMEDIO ANUAL 15 AÑOS,"2,5% | 3,7% | 2,2% | 3,2% | 1,7% | 47,2%"
9.1.8,698,VARIACIÓN ABSOLUTA DE LA GESTIÓN 4.182 1.260 5.442 6.711 -,"1.269 | 1,9% | -1,9%"
9.1.8,698,VARIACIÓN RELATIVA DE LA GESTIÓN,"4,56% | 1,07% | 2,60% | 6,66% | -1,17% | 3,96% | -3,67%"
9.1.8,698,"VARIACIÓN PROMEDIO ANUAL 15 AÑOS 9,5% 4,1% 5,5% 4,8% 6,6% 51,6% 48,4% -",12.740 | 12.768
9.1.12,712,VARIACIÓN ABSOLUTA DE LA GESTIÓN - 422 23.355 22.930 31.103 -,"8.172 | 2,7% | -2,7%"
9.1.12,712,VARIACIÓN RELATIVA DE LA GESTIÓN,"-0,1% | 6,2% | 3,2% | 8,9% | -2,2% | 5,5% | -5,3%"
9.1.12,712,VARIACIÓN PROMEDIO ANUAL 15 AÑOS,"5,4% | 2,3% | 2,9% | 3,5% | 2,8% | 48,1% | 51,9%"
