firma,cuadros,paginas,n_paginas,pagina_referencia,n_columnas,columna,encabezado_pdf,titulo_pagina
20d3125560,5.1.1.1,121-131,11,121,8,1,CAUSAS / READECUADAS A / LA LEY N° 439,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto
20d3125560,5.1.1.1,121-131,11,121,8,2,RECIBIDAS POR / EXCUSA O / RECUSACION,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto
20d3125560,5.1.1.1,121-131,11,121,8,3,FORMA DE INGRESO / PROCESOS / PRELIMINARES / FORMALIZADAS EN FORMALIZADAS EN / DEMANDA,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto
20d3125560,5.1.1.1,121-131,11,121,8,4,PROCESOS / CAUTELARES / FORMALIZADAS EN FORMALIZADAS EN / DEMANDA,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto
20d3125560,5.1.1.1,121-131,11,121,8,5,NUEVAS / INGRESADAS EN LA / GESTIÓN,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto
20d3125560,5.1.1.1,121-131,11,121,8,6,TOTAL DE CAUSAS / ATENDIDAS EN LA / GESTIÓN,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto
20d3125560,5.1.1.1,121-131,11,121,8,7,CAUSAS / RESUELTAS EN LA / GESTIÓN,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto
20d3125560,5.1.1.1,121-131,11,121,8,8,PENDIENTES PARA / LA PRÓXIMA / GESTIÓN,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto
fe9adb27f1,5.1.1.2,132-142,11,132,13,1,FORMAS DE / RESOLUCIÓN DE / CAUSAS CON / SENTENCIA,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto
fe9adb27f1,5.1.1.2,132-142,11,132,13,2,DESISTIMIENTO,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto
fe9adb27f1,5.1.1.2,132-142,11,132,13,3,FORMAS DE RESOLUCIÓN DE CAUSAS CON AUTO DEFINITIVO / DE LA / RETIRO DEMANDA,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto
fe9adb27f1,5.1.1.2,132-142,11,132,13,4,FORMAS DE RESOLUCIÓN DE CAUSAS CON AUTO DEFINITIVO / EXTINCIÓN POR INACTIVIDAD,Juzgados Públicos en Materia Civil y Comercial de Ciudades Capitales y El Alto
