cuadro_origen,pagina_pdf,motivo,linea_cruda
9.1.5,687,1 columna(s) sin rótulo en el encabezado,"PÚBLICO CIVIL Y COMERCIAL 13.374 27.672 41.046 26.981 14.065 65,7% 34,3% 23,24%"
9.1.5,687,1 columna(s) sin rótulo en el encabezado,"PÚBLICO DE FAMILIA 17.968 27.766 45.734 26.687 19.047 58,4% 41,6% 23,32%"
9.1.5,687,1 columna(s) sin rótulo en el encabezado,"PÚBLICO NIÑEZ Y ADOLESCENCIA 2.251 3.613 5.864 3.344 2.520 57,0% 43,0% 3,03%"
9.1.5,687,1 columna(s) sin rótulo en el encabezado,"PARTIDO DE TRABAJO Y SEGURIDAD SOCIAL 3.658 2.691 6.349 2.644 3.705 41,6% 58,4% 2,26%"
9.1.5,687,1 columna(s) sin rótulo en el encabezado,"INSTRUCCIÓN PENAL 25.017 28.393 53.410 25.350 28.060 47,5% 52,5% 23,84%"
9.1.5,687,1 columna(s) sin rótulo en el encabezado,"INSTRUCCÓN CONTRA LA VIOLENCIA HACIA LA MUJER 13.164 18.259 31.423 15.780 15.643 50,2% 49,8% 15,33%"
9.1.5,687,1 columna(s) sin rótulo en el encabezado,"INSTRUCCIÓN ANTICORRUPCIÓN 343 259 602 252 350 41,9% 58,1% 0,22%"
9.1.5,687,1 columna(s) sin rótulo en el encabezado,"SENTENCIA PENAL 8.319 5.501 13.820 3.720 10.100 26,9% 73,1% 4,62%"
9.1.5,687,1 columna(s) sin rótulo en el encabezado,"SENTENCIA CONTRA LA VIOLENCIA HACIA LA MUJER 3.323 2.477 5.800 1.258 4.542 21,7% 78,3% 2,08%"
9.1.5,687,1 columna(s) sin rótulo en el encabezado,"SENTENCIA ANTICORRUPCIÓN 96 72 168 56 112 33,3% 66,7% 0,06%"
9.1.5,687,1 columna(s) sin rótulo en el encabezado,"TRIBUNAL DE SENTENCIA PENAL 4.920 640 5.560 622 4.938 11,2% 88,8% 0,54%"
9.1.5,687,1 columna(s) sin rótulo en el encabezado,"TRIBUNAL DE SENTENCIA CONTRA LA VIOLENCIA HACIA LA MUJER 3.130 1.096 4.226 673 3.553 15,9% 84,1% 0,92%"
9.1.5,687,1 columna(s) sin rótulo en el encabezado,"TRIBUNAL DE SENTENCIA ANTICORRUPCIÓN 57 31 88 28 60 31,8% 68,2% 0,03%"
9.1.5,687,1 columna(s) sin rótulo en el encabezado,"EJECUCIÓN PENAL 190 608 798 76 722 9,5% 90,5% 0,51%"
9.1.5,687,1 columna(s) sin rótulo en el encabezado,"NACIONAL 95.810 119.078 214.888 107.471 107.417 50,0% 50,0% 100,00%"
9.1.6,691,fila hueca (2 de 10 celdas); las vacías quedan nulas,"Ejecución Penal 76 9,5%"
9.1.4,684,2 columna(s) sin rótulo en el encabezado,"2008 146.247 253.262 399.509 193.798 205.711 48,5% 426 595 8,1% 15%"
9.1.4,684,2 columna(s) sin rótulo en el encabezado,"2009 175.621 264.102 439.723 203.120 236.603 46,2% 427 619 4,3% 5%"
9.1.4,684,2 columna(s) sin rótulo en el encabezado,"2010 210.934 270.858 481.792 216.336 265.456 44,9% 427 634 2,6% 7%"
9.1.4,684,2 columna(s) sin rótulo en el encabezado,"2011 218.222 284.764 502.986 220.538 282.448 43,8% 427 667 5,1% 2%"
9.1.4,684,2 columna(s) sin rótulo en el encabezado,"2012 271.080 303.410 574.490 251.945 322.545 43,9% 427 711 6,5% 14%"
9.1.4,684,2 columna(s) sin rótulo en el encabezado,"2013 228.937 396.006 624.943 287.877 337.066 46,1% 463 855 30,5% 14%"
9.1.4,684,2 columna(s) sin rótulo en el encabezado,"2014 265.068 366.603 631.671 293.241 338.430 46,4% 476 770 -7,4% 2%"
9.1.4,684,2 columna(s) sin rótulo en el encabezado,"2015 311.742 357.536 669.278 352.793 316.485 52,7% 484 739 -2,5% 20%"
9.1.4,684,2 columna(s) sin rótulo en el encabezado,"2016 391.594 272.618 664.212 309.684 354.528 46,6% 495 551 -23,8% -12%"
