tabla,cuadro_origen,pagina_pdf,unidad_fila,tipo_fila_derivado,tipo_proceso,grupo_proceso_norm,tipo_accion_penal,clasificacion_tipo_proceso,contexto_observado,codigo_contexto_propuesto,decision,confianza,evidencia,observaciones,filas_fuente
apelaciones_por_tipo_proceso,5.1.1,154;155;156;157;158;159;160;161;162;163;164,tipo_proceso,detalle,ACCIONES CONSTITUCIONALES,,,proceso_valido,RECURSOS DE APELACIÓN CON CARÁCTER DEVOLUTIVO,recursos_de_apelacion_con_caracter_devolutivo|no_aplica,confirmado,alta,"Cuadro 5.1.1, p. 154;155;156;157;158;159;160;161;162;163;164; Rótulo de detalle legible, consistente dentro del mismo cuadro y posición estructural.",No se propuso homologación automática.,11
apelaciones_por_tipo_proceso,5.1.1,154;155;156;157;158;159;160;161;162;163;164,tipo_proceso,detalle,ACEPTACIÓN DE HERENCIA CON BENEFICIO DE INVENTARIO,,,proceso_valido,RECURSOS DE APELACIÓN CON CARÁCTER DEVOLUTIVO,recursos_de_apelacion_con_caracter_devolutivo|no_aplica,confirmado,alta,"Cuadro 5.1.1, p. 154;155;156;157;158;159;160;161;162;163;164; Rótulo de detalle legible, consistente dentro del mismo cuadro y posición estructural.",No se propuso homologación automática.,11
apelaciones_por_tipo_proceso,5.1.1,154;155;156;157;158;159;160;161;162;163;164,tipo_proceso,detalle,"APERTURA, COMPROBACIÓN Y PUBLICACIÓN DE TESTAMENTO",,,proceso_valido,RECURSOS DE APELACIÓN CON CARÁCTER DEVOLUTIVO,recursos_de_apelacion_con_caracter_devolutivo|no_aplica,confirmado,alta,"Cuadro 5.1.1, p. 154;155;156;157;158;159;160;161;162;163;164; Rótulo de detalle legible, consistente dentro del mismo cuadro y posición estructural.",No se propuso homologación automática.,11
apelaciones_por_tipo_proceso,5.1.1,154;155;156;157;158;159;160;161;162;163;164,tipo_proceso,detalle,CESE DE LA COPROPIEDAD,,,proceso_valido,RECURSOS DE APELACIÓN CON CARÁCTER DEVOLUTIVO,recursos_de_apelacion_con_caracter_devolutivo|no_aplica,confirmado,alta,"Cuadro 5.1.1, p. 154;155;156;157;158;159;160;161;162;163;164; Rótulo de detalle legible, consistente dentro del mismo cuadro y posición estructural.",No se propuso homologación automática.,11
apelaciones_por_tipo_proceso,5.1.1,155;156;158,tipo_proceso,detalle,CONCURSALES O,,,fragmento,RECURSOS DE APELACIÓN CON CARÁCTER DEVOLUTIVO,recursos_de_apelacion_con_caracter_devolutivo|no_aplica,requiere_contexto,alta,"Cuadro 5.1.1, p. 155;156;158; El rótulo mezcla o corta el texto de una fila con su encabezado/grupo en la capa PDF.",Equivalencia candidata no aplicada: CONCURSALES.,3
apelaciones_por_tipo_proceso,5.1.1,154;155;156;157;158;159;160;161;162;163;164,tipo_proceso,detalle,DESALOJO DE VIVIENDA,,,proceso_valido,RECURSOS DE APELACIÓN CON CARÁCTER DEVOLUTIVO,recursos_de_apelacion_con_caracter_devolutivo|no_aplica,confirmado,alta,"Cuadro 5.1.1, p. 154;155;156;157;158;159;160;161;162;163;164; Rótulo de detalle legible, consistente dentro del mismo cuadro y posición estructural.",No se propuso homologación automática.,11
apelaciones_por_tipo_proceso,5.1.1,154;155;156;157;158;159;160;161;162;163;164,tipo_proceso,detalle,DESALOJO EN REGIMEN DE LIBRE CONTRATACIÓN,,,proceso_valido,RECURSOS DE APELACIÓN CON CARÁCTER DEVOLUTIVO,recursos_de_apelacion_con_caracter_devolutivo|no_aplica,confirmado,alta,"Cuadro 5.1.1, p. 154;155;156;157;158;159;160;161;162;163;164; Rótulo de detalle legible, consistente dentro del mismo cuadro y posición estructural.",No se propuso homologación automática.,11
apelaciones_por_tipo_proceso,5.1.1,154;155;156;157;158;159;160;161;162;163;164,tipo_proceso,detalle,DESAPARICIÓN Y PRESUNCIÓN DE MUERTE,,,proceso_valido,RECURSOS DE APELACIÓN CON CARÁCTER DEVOLUTIVO,recursos_de_apelacion_con_caracter_devolutivo|no_aplica,confirmado,alta,"Cuadro 5.1.1, p. 154;155;156;157;158;159;160;161;162;163;164; Rótulo de detalle legible, consistente dentro del mismo cuadro y posición estructural.",No se propuso homologación automática.,11
apelaciones_por_tipo_proceso,5.1.1,154;155;156;157;158;159;160;161;162;163;164,tipo_proceso,detalle,EJECUCIÓN COACTIVA DE SUMAS DE DINERO,,,proceso_valido,RECURSOS DE APELACIÓN CON CARÁCTER DEVOLUTIVO,recursos_de_apelacion_con_caracter_devolutivo|no_aplica,confirmado,alta,"Cuadro 5.1.1, p. 154;155;156;157;158;159;160;161;162;163;164; Rótulo de detalle legible, consistente dentro del mismo cuadro y posición estructural.",No se propuso homologación automática.,11
apelaciones_por_tipo_proceso,5.1.1,154;155;156;157;158;159;160;161;162;163;164,tipo_proceso,detalle,EJECUTIVO,,,proceso_valido,RECURSOS DE APELACIÓN CON CARÁCTER DEVOLUTIVO,recursos_de_apelacion_con_caracter_devolutivo|no_aplica,confirmado,alta,"Cuadro 5.1.1, p. 154;155;156;157;158;159;160;161;162;163;164; Rótulo de detalle legible, consistente dentro del mismo cuadro y posición estructural.",No se propuso homologación automática.,11
apelaciones_por_tipo_proceso,5.1.1,154;155;156;157;158;159;160;161;162;163;164,tipo_proceso,detalle,ENTREGA DE LA HERENCIA,,,proceso_valido,RECURSOS DE APELACIÓN CON CARÁCTER DEVOLUTIVO,recursos_de_apelacion_con_caracter_devolutivo|no_aplica,confirmado,alta,"Cuadro 5.1.1, p. 154;155;156;157;158;159;160;161;162;163;164; Rótulo de detalle legible, consistente dentro del mismo cuadro y posición estructural.",No se propuso homologación automática.,11
apelaciones_por_tipo_proceso,5.1.1,154;155;156;157;158;159;160;161;162;163;164,tipo_proceso,detalle,ENTREGA DEL BIEN O CUMPLIMIENTO DE DAR,,,proceso_valido,RECURSOS DE APELACIÓN CON CARÁCTER DEVOLUTIVO,recursos_de_apelacion_con_caracter_devolutivo|no_aplica,confirmado,alta,"Cuadro 5.1.1, p. 154;155;156;157;158;159;160;161;162;163;164; Rótulo de detalle legible, consistente dentro del mismo cuadro y posición estructural.",No se propuso homologación automática.,11
apelaciones_por_tipo_proceso,5.1.1,154;155;156;157;158;159;160;161;162;163;164,tipo_proceso,detalle,"INSCRIPCIÓN, MODIFICACIÓN, CANCELACIÓN O FUSIÓN DE PARTIDAS EN EL REGISTRO DE DERECHOS REALES, ASI COMO EN OTROS REGISTROS PÚBLICOS",,,proceso_valido,RECURSOS DE APELACIÓN CON CARÁCTER DEVOLUTIVO,recursos_de_apelacion_con_caracter_devolutivo|no_aplica,confirmado,alta,"Cuadro 5.1.1, p. 154;155;156;157;158;159;160;161;162;163;164; Rótulo de detalle legible, consistente dentro del mismo cuadro y posición estructural.",No se propuso homologación automática.,11
apelaciones_por_tipo_proceso,5.1.1,154;155;156;157;158;159;160;161;162;163;164,tipo_proceso,detalle,INTERDICTOS,,,proceso_valido,RECURSOS DE APELACIÓN CON CARÁCTER DEVOLUTIVO,recursos_de_apelacion_con_caracter_devolutivo|no_aplica,confirmado,alta,"Cuadro 5.1.1, p. 154;155;156;157;158;159;160;161;162;163;164; Rótulo de detalle legible, consistente dentro del mismo cuadro y posición estructural.",No se propuso homologación automática.,11
apelaciones_por_tipo_proceso,5.1.1,154;155;156;157;158;159;160;161;162;163;164,tipo_proceso,detalle,MENSURA Y DESLINDE,,,proceso_valido,RECURSOS DE APELACIÓN CON CARÁCTER DEVOLUTIVO,recursos_de_apelacion_con_caracter_devolutivo|no_aplica,confirmado,alta,"Cuadro 5.1.1, p. 154;155;156;157;158;159;160;161;162;163;164; Rótulo de detalle legible, consistente dentro del mismo cuadro y posición estructural.",No se propuso homologación automática.,11
apelaciones_por_tipo_proceso,5.1.1,154;157;159;160;161;162;163;164,tipo_proceso,detalle,O CONCURSALES,,,fragmento,RECURSOS DE APELACIÓN CON CARÁCTER DEVOLUTIVO,recursos_de_apelacion_con_caracter_devolutivo|no_aplica,requiere_contexto,alta,"Cuadro 5.1.1, p. 154;157;159;160;161;162;163;164; El rótulo mezcla o corta el texto de una fila con su encabezado/grupo en la capa PDF.",Equivalencia candidata no aplicada: CONCURSALES.,8
apelaciones_por_tipo_proceso,5.1.1,154;155;156;157;158;159;160;161;162;163;164,tipo_proceso,detalle,OFERTA DE PAGO Y CONSIGNACIÓN,,,proceso_valido,RECURSOS DE APELACIÓN CON CARÁCTER DEVOLUTIVO,recursos_de_apelacion_con_caracter_devolutivo|no_aplica,confirmado,alta,"Cuadro 5.1.1, p. 154;155;156;157;158;159;160;161;162;163;164; Rótulo de detalle legible, consistente dentro del mismo cuadro y posición estructural.",No se propuso homologación automática.,11
apelaciones_por_tipo_proceso,5.1.1,154;155;156;157;158;159;160;161;162;163,tipo_proceso,detalle,ORDINARIO,,,proceso_valido,RECURSOS DE APELACIÓN CON CARÁCTER DEVOLUTIVO,recursos_de_apelacion_con_caracter_devolutivo|no_aplica,confirmado,alta,"Cuadro 5.1.1, p. 154;155;156;157;158;159;160;161;162;163; Rótulo de detalle legible, consistente dentro del mismo cuadro y posición estructural.",No se propuso homologación automática.,10
apelaciones_por_tipo_proceso,5.1.1,164,tipo_proceso,detalle,ORDINARIO O,,,fragmento,RECURSOS DE APELACIÓN CON CARÁCTER DEVOLUTIVO,recursos_de_apelacion_con_caracter_devolutivo|no_aplica,requiere_contexto,alta,"Cuadro 5.1.1, p. 164; El rótulo mezcla o corta el texto de una fila con su encabezado/grupo en la capa PDF.",Equivalencia candidata no aplicada: ORDINARIO.,1
apelaciones_por_tipo_proceso,5.1.1,154;155;156;157;158;159;160;161;162;163;164,tipo_proceso,detalle,OTROS MONITORIOS,,,proceso_valido,RECURSOS DE APELACIÓN CON CARÁCTER DEVOLUTIVO,recursos_de_apelacion_con_caracter_devolutivo|no_aplica,confirmado,alta,"Cuadro 5.1.1, p. 154;155;156;157;158;159;160;161;162;163;164; Rótulo de detalle legible, consistente dentro del mismo cuadro y posición estructural.",No se propuso homologación automática.,11
apelaciones_por_tipo_proceso,5.1.1,154;155;156;157;158;159;160;161;162;163;164,tipo_proceso,detalle,OTROS PROCESOS,,,proceso_valido,RECURSOS DE APELACIÓN CON CARÁCTER DEVOLUTIVO,recursos_de_apelacion_con_caracter_devolutivo|no_aplica,confirmado,alta,"Cuadro 5.1.1, p. 154;155;156;157;158;159;160;161;162;163;164; Rótulo de detalle legible, consistente dentro del mismo cuadro y posición estructural.",No se propuso homologación automática.,11
