regla_id,tabla,cuadro_origen,literal_actual,literal_fuente_correcto,causa,alcance_correccion,clave_contexto,decision,confianza,evidencia_pdf,observaciones
R001,apelaciones_por_tipo_proceso,6.1.1.4,CON CUR SAL ES CONCURSALES,CONCURSALES,texto_vertical_adherido,correccion_acotada_por_cuadro,tabla=apelaciones_por_tipo_proceso|cuadro=6.1.1.4|paginas=431;432;433;436;438|literal_actual=CON CUR SAL ES CONCURSALES,confirmado,alta,"PDF pp. 431;432;433;436;438, cuadro(s) 6.1.1.4: la fila fuente es «CONCURSALES»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.","Contrato de propuesta; no aplicado al ETL. Preservar cuadro, página, orden y literal fuente."
R002,apelaciones_por_tipo_proceso,6.1.1.4,CONCURSALES CON CUR SAL ES,CONCURSALES,texto_vertical_adherido,correccion_acotada_por_cuadro,tabla=apelaciones_por_tipo_proceso|cuadro=6.1.1.4|paginas=429;430;434;435;437|literal_actual=CONCURSALES CON CUR SAL ES,confirmado,alta,"PDF pp. 429;430;434;435;437, cuadro(s) 6.1.1.4: la fila fuente es «CONCURSALES»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.","Contrato de propuesta; no aplicado al ETL. Preservar cuadro, página, orden y literal fuente."
R003,apelaciones_por_tipo_proceso,6.1.1.3,CONCURSALES CON SAL ES,CONCURSALES,texto_vertical_adherido,correccion_acotada_por_cuadro,tabla=apelaciones_por_tipo_proceso|cuadro=6.1.1.3|paginas=419;420;421;422;423;424;425;426;427;428|literal_actual=CONCURSALES CON SAL ES,confirmado,alta,"PDF pp. 419;420;421;422;423;424;425;426;427;428, cuadro(s) 6.1.1.3: la fila fuente es «CONCURSALES»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.","Contrato de propuesta; no aplicado al ETL. Preservar cuadro, página, orden y literal fuente."
R004,apelaciones_por_tipo_proceso,5.1.1.3,CONCURSALES LES,CONCURSALES,texto_vertical_adherido,correccion_acotada_por_cuadro,tabla=apelaciones_por_tipo_proceso|cuadro=5.1.1.3|paginas=153|literal_actual=CONCURSALES LES,confirmado,alta,"PDF pp. 153, cuadro(s) 5.1.1.3: la fila fuente es «CONCURSALES»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.","Contrato de propuesta; no aplicado al ETL. Preservar cuadro, página, orden y literal fuente."
R005,apelaciones_por_tipo_proceso,5.1.1;5.1.1.3,CONCURSALES O,CONCURSALES,texto_vertical_adherido,correccion_acotada_por_cuadro,tabla=apelaciones_por_tipo_proceso|cuadro=5.1.1;5.1.1.3|paginas=143;144;145;146;147;149;150;155;156;158|literal_actual=CONCURSALES O,confirmado,alta,"PDF pp. 143;144;145;146;147;149;150;155;156;158, cuadro(s) 5.1.1;5.1.1.3: la fila fuente es «CONCURSALES»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.","Contrato de propuesta; no aplicado al ETL. Preservar cuadro, página, orden y literal fuente."
R006,apelaciones_por_tipo_proceso,5.1.2.3;5.1.2.4;6.1.2.3;6.1.2.4,CONSTITUCIÓN DEL PATRIMONIO FAMILIAR DE,CONSTITUCIÓN DEL PATRIMONIO FAMILIAR,texto_vertical_adherido,correccion_acotada_por_cuadro,tabla=apelaciones_por_tipo_proceso|cuadro=5.1.2.3;5.1.2.4;6.1.2.3;6.1.2.4|paginas=200;214;217;469;479;480;481;482;483;484;485;487;488|literal_actual=CONSTITUCIÓN DEL PATRIMONIO FAMILIAR DE,confirmado,alta,"PDF pp. 200;214;217;469;479;480;481;482;483;484;485;487;488, cuadro(s) 5.1.2.3;5.1.2.4;6.1.2.3;6.1.2.4: la fila fuente es «CONSTITUCIÓN DEL PATRIMONIO FAMILIAR»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.","Contrato de propuesta; no aplicado al ETL. Preservar cuadro, página, orden y literal fuente."
R007,apelaciones_por_tipo_proceso,5.1.2.3;5.1.2.4;6.1.2.4,DE CONSTITUCIÓN DEL PATRIMONIO FAMILIAR,CONSTITUCIÓN DEL PATRIMONIO FAMILIAR,texto_vertical_adherido,correccion_acotada_por_cuadro,tabla=apelaciones_por_tipo_proceso|cuadro=5.1.2.3;5.1.2.4;6.1.2.4|paginas=199;210;211;212;213;215;216;218;219;486|literal_actual=DE CONSTITUCIÓN DEL PATRIMONIO FAMILIAR,confirmado,alta,"PDF pp. 199;210;211;212;213;215;216;218;219;486, cuadro(s) 5.1.2.3;5.1.2.4;6.1.2.4: la fila fuente es «CONSTITUCIÓN DEL PATRIMONIO FAMILIAR»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.","Contrato de propuesta; no aplicado al ETL. Preservar cuadro, página, orden y literal fuente."
R008,apelaciones_por_tipo_proceso,5.1.2.4,DE DESACUERDO DE LOS PADRES,DESACUERDO DE LOS PADRES,texto_vertical_adherido,correccion_acotada_por_cuadro,tabla=apelaciones_por_tipo_proceso|cuadro=5.1.2.4|paginas=220|literal_actual=DE DESACUERDO DE LOS PADRES,confirmado,alta,"PDF pp. 220, cuadro(s) 5.1.2.4: la fila fuente es «DESACUERDO DE LOS PADRES»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.","Contrato de propuesta; no aplicado al ETL. Preservar cuadro, página, orden y literal fuente."
R009,apelaciones_por_tipo_proceso,6.1.1.4,DE EJECUCIÓN COACTIVA DE SUMAS DE DINERO,EJECUCIÓN COACTIVA DE SUMAS DE DINERO,texto_vertical_adherido,correccion_acotada_por_cuadro,tabla=apelaciones_por_tipo_proceso|cuadro=6.1.1.4|paginas=429;430;431;432;433;434;436;437;438|literal_actual=DE EJECUCIÓN COACTIVA DE SUMAS DE DINERO,confirmado,alta,"PDF pp. 429;430;431;432;433;434;436;437;438, cuadro(s) 6.1.1.4: la fila fuente es «EJECUCIÓN COACTIVA DE SUMAS DE DINERO»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.","Contrato de propuesta; no aplicado al ETL. Preservar cuadro, página, orden y literal fuente."
R010,apelaciones_por_tipo_proceso,5.1.2.3;6.1.2.3,DESACUERDO DE LOS PADRES DE,DESACUERDO DE LOS PADRES,texto_vertical_adherido,correccion_acotada_por_cuadro,tabla=apelaciones_por_tipo_proceso|cuadro=5.1.2.3;6.1.2.3|paginas=201;202;203;204;205;206;207;208;209;470;471;472;473;474;475;476;477;478|literal_actual=DESACUERDO DE LOS PADRES DE,confirmado,alta,"PDF pp. 201;202;203;204;205;206;207;208;209;470;471;472;473;474;475;476;477;478, cuadro(s) 5.1.2.3;6.1.2.3: la fila fuente es «DESACUERDO DE LOS PADRES»; los tokens adicionales o alterados pertenecen al encabezado, grupo o fila adyacente.","Contrato de propuesta; no aplicado al ETL. Preservar cuadro, página, orden y literal fuente."
