cuadro_origen,paginas,departamento,columna,fragmentos_originales,rotulo_canonico,codigo_canonico,tipo_columna,decision,confianza,evidencia,observaciones
4.1.1,109,CIUDADES CAPITALES Y EL ALTO,col_01,"TRIBUNALES, SUCRE Sustancias Adolescencia Violencia materia.",Sucre,ciudad_sucre,otro,confirmado,alta,"Cuadro 4.1.1, p. 109; ciudad visible sobre col_01; posición horizontal y total de las diez ciudades.",Columna geográfica; los órganos están dispuestos en filas.
4.1.1,109,CIUDADES CAPITALES Y EL ALTO,col_02,SALAS Y LA PAZ la Mujer,La Paz,ciudad_la_paz,otro,confirmado,alta,"Cuadro 4.1.1, p. 109; ciudad visible sobre col_02; posición horizontal y total de las diez ciudades.",Columna geográfica; los órganos están dispuestos en filas.
4.1.1,109,CIUDADES CAPITALES Y EL ALTO,col_03,CONCILIADORES ALTO Anticorrupción,El Alto,ciudad_el_alto,otro,confirmado,alta,"Cuadro 4.1.1, p. 109; ciudad visible sobre col_03; posición horizontal y total de las diez ciudades.",Columna geográfica; los órganos están dispuestos en filas.
4.1.1,109,CIUDADES CAPITALES Y EL ALTO,col_04,CIUDADES COCHABAM 1 BA,Cochabamba,ciudad_cochabamba,otro,confirmado,alta,"Cuadro 4.1.1, p. 109; ciudad visible sobre col_04; posición horizontal y total de las diez ciudades.",Columna geográfica; los órganos están dispuestos en filas.
4.1.1,109,CIUDADES CAPITALES Y EL ALTO,col_05,CAPITALES ORURO 48,Oruro,ciudad_oruro,otro,confirmado,alta,"Cuadro 4.1.1, p. 109; ciudad visible sobre col_05; posición horizontal y total de las diez ciudades.",Columna geográfica; los órganos están dispuestos en filas.
4.1.1,109,CIUDADES CAPITALES Y EL ALTO,col_06,DEPARTAMENTO POTOSÍ 39,Potosí,ciudad_potosi,otro,confirmado,alta,"Cuadro 4.1.1, p. 109; ciudad visible sobre col_06; posición horizontal y total de las diez ciudades.",Columna geográfica; los órganos están dispuestos en filas.
4.1.1,109,CIUDADES CAPITALES Y EL ALTO,col_07,Y EL TARIJA 42,Tarija,ciudad_tarija,otro,confirmado,alta,"Cuadro 4.1.1, p. 109; ciudad visible sobre col_07; posición horizontal y total de las diez ciudades.",Columna geográfica; los órganos están dispuestos en filas.
4.1.1,109,CIUDADES CAPITALES Y EL ALTO,col_08,DE LA SANTA CRUZ 133,Santa Cruz,ciudad_santa_cruz,otro,confirmado,alta,"Cuadro 4.1.1, p. 109; ciudad visible sobre col_08; posición horizontal y total de las diez ciudades.",Columna geográfica; los órganos están dispuestos en filas.
4.1.1,109,CIUDADES CAPITALES Y EL ALTO,col_09,TRINIDAD 31,Trinidad,ciudad_trinidad,otro,confirmado,alta,"Cuadro 4.1.1, p. 109; ciudad visible sobre col_09; posición horizontal y total de las diez ciudades.",Columna geográfica; los órganos están dispuestos en filas.
4.1.1,109,CIUDADES CAPITALES Y EL ALTO,col_10,COBIJA 21,Cobija,ciudad_cobija,otro,confirmado,alta,"Cuadro 4.1.1, p. 109; ciudad visible sobre col_10; posición horizontal y total de las diez ciudades.",Columna geográfica; los órganos están dispuestos en filas.
