grupo_sugerido,grupo_auditoria,materia_variante,cuadros,paginas,materia_canonica_propuesta,decision,confianza,evidencia,observaciones
"EJECUCIONPENAL","ejecucion_penal","EJECUCIÓN PENAL","9.1.1 9.1.5 9.1.9","673 687 701","Ejecución Penal","equivalente_confirmada","alta","9.1.1 p. 673 ↔ 9.1.2 p. 677; 9.1.5 p. 687 ↔ 9.1.6 p. 691; 9.1.9 p. 701 ↔ 9.1.10 p. 705. Misma posición y resueltas 2023: 8.992, 76 y 9.068.","Solo cambia la capitalización."
"EJECUCIONPENAL","ejecucion_penal","Ejecución Penal","9.1.10 9.1.2 9.1.6","677 691 705","Ejecución Penal","equivalente_confirmada","alta","9.1.1 p. 673 ↔ 9.1.2 p. 677; 9.1.5 p. 687 ↔ 9.1.6 p. 691; 9.1.9 p. 701 ↔ 9.1.10 p. 705. Misma posición y resueltas 2023: 8.992, 76 y 9.068.","Solo cambia la capitalización."
"INSTRUCCIONANTICORRUPCION","instruccion_anticorrupcion","INSTRUCCIÓN ANTICORRUPCIÓN","9.1.1 9.1.5 9.1.9","673 687 701","Instrucción Anticorrupción","equivalente_confirmada","alta","9.1.1 p. 673 ↔ 9.1.2 p. 677; 9.1.5 p. 687 ↔ 9.1.6 p. 691; 9.1.9 p. 701 ↔ 9.1.10 p. 705. Misma posición y resueltas 2023: 1.940, 252 y 2.192.","Solo cambia la capitalización."
"","instruccion_violencia","INSTRUCCÓN CONTRA LA VIOLENCIA HACIA LA MUJER","9.1.1 9.1.5 9.1.9","673 687 701","Instrucción Contra la Violencia hacia las Mujeres","equivalente_variacion_editorial","alta","9.1.1 p. 673 ↔ 9.1.2 p. 677; 9.1.5 p. 687 ↔ 9.1.6 p. 691; 9.1.9 p. 701 ↔ 9.1.10 p. 705. Misma posición y resueltas 2023: 30.983, 15.780 y 46.763.","La variante cruda contiene INSTRUCCÓN, errata ya trazada por materia_norm; además cambia mujer/mujeres."
"INSTRUCCIONPENAL","instruccion_penal","INSTRUCCIÓN PENAL","9.1.1 9.1.5 9.1.9","673 687 701","Instrucción Penal","equivalente_confirmada","alta","9.1.1 p. 673 ↔ 9.1.2 p. 677; 9.1.5 p. 687 ↔ 9.1.6 p. 691; 9.1.9 p. 701 ↔ 9.1.10 p. 705. Misma posición y resueltas 2023: 60.894, 25.350 y 86.244.","Solo cambia la capitalización."
"INSTRUCCIONANTICORRUPCION","instruccion_anticorrupcion","Instrucción Anticorrupción","9.1.10 9.1.2 9.1.6","677 691 705","Instrucción Anticorrupción","equivalente_confirmada","alta","9.1.1 p. 673 ↔ 9.1.2 p. 677; 9.1.5 p. 687 ↔ 9.1.6 p. 691; 9.1.9 p. 701 ↔ 9.1.10 p. 705. Misma posición y resueltas 2023: 1.940, 252 y 2.192.","Solo cambia la capitalización."
"","instruccion_violencia","Instrucción Contra la Violencia hacia las Mujeres","9.1.10 9.1.2 9.1.6","677 691 705","Instrucción Contra la Violencia hacia las Mujeres","equivalente_variacion_editorial","alta","9.1.1 p. 673 ↔ 9.1.2 p. 677; 9.1.5 p. 687 ↔ 9.1.6 p. 691; 9.1.9 p. 701 ↔ 9.1.10 p. 705. Misma posición y resueltas 2023: 30.983, 15.780 y 46.763.","La forma plural y la forma singular ocupan la misma función en los cuadros comparables."
"INSTRUCCIONPENAL","instruccion_penal","Instrucción Penal","9.1.10 9.1.2 9.1.6","677 691 705","Instrucción Penal","equivalente_confirmada","alta","9.1.1 p. 673 ↔ 9.1.2 p. 677; 9.1.5 p. 687 ↔ 9.1.6 p. 691; 9.1.9 p. 701 ↔ 9.1.10 p. 705. Misma posición y resueltas 2023: 60.894, 25.350 y 86.244.","Solo cambia la capitalización."
"","partido_administrativo","PARTIDO ADMINISTRATIVO COACTIVO FISCAL Y TRIBUTARIO","9.1.1 9.1.9","673 701","Partido Administrativo Coactivo Fiscal y Tributario","equivalente_variacion_editorial","alta","9.1.1 p. 673 ↔ 9.1.2 p. 677 y 9.1.9 p. 701 ↔ 9.1.10 p. 705. Misma posición y resueltas 2023 = 2.671; ausente en ambos cuadros provinciales.","La tabla histórica abrevia el rótulo y omite 'y Tributario'; la coincidencia estructural y numérica es exacta."
"","partido_trabajo","PARTIDO DE TRABAJO Y SEGURIDAD SOCIAL","9.1.1 9.1.5 9.1.9","673 687 701","Partido de Trabajo y Seguridad Social","equivalente_variacion_editorial","alta","9.1.1 p. 673 ↔ 9.1.2 p. 677; 9.1.5 p. 687 ↔ 9.1.6 p. 691; 9.1.9 p. 701 ↔ 9.1.10 p. 705. Misma posición y resueltas 2023: 20.797, 2.644 y 23.441.","La tabla histórica omite la preposición 'de'."
