cuadro_origen,pagina_pdf,ambito,eje,etiqueta_fila,num_juzgados,pendientes_inicio,ingresadas,atendidas,resueltas,pendientes_fin,pct_resueltas,pct_pendientes,promedio_por_juzgado,col_sin_rotulo_1,ciudad,departamento,departamento_derivado,materia_cruda,materia_norm,instancia_derivada,tipo_fila_derivado,errata_corregida,gestion,revisado_manual
9.1.1,673,capital,materia,PÚBLICO CIVIL Y COMERCIAL,163,29688,66140,95828,67788,28040,70.7,29.3,406.0,,,,,PÚBLICO CIVIL Y COMERCIAL,PÚBLICO CIVIL Y COMERCIAL,juzgado,dato,False,2023,False
9.1.1,673,capital,materia,PÚBLICO DE FAMILIA,106,24149,50600,74749,52523,22226,70.3,29.7,477.0,,,,,PÚBLICO DE FAMILIA,PÚBLICO DE FAMILIA,juzgado,dato,False,2023,False
9.1.1,673,capital,materia,PÚBLICO NIÑEZ Y ADOLESCENCIA,26,3846,8549,12395,8368,4027,67.5,32.5,329.0,,,,,PÚBLICO NIÑEZ Y ADOLESCENCIA,PÚBLICO NIÑEZ Y ADOLESCENCIA,juzgado,dato,False,2023,False
9.1.1,673,capital,materia,PARTIDO DE TRABAJO Y SEGURIDAD SOCIAL,51,23611,21382,44992,20797,24195,46.2,53.8,419.0,,,,,PARTIDO DE TRABAJO Y SEGURIDAD SOCIAL,PARTIDO DE TRABAJO Y SEGURIDAD SOCIAL,juzgado,dato,False,2023,False
9.1.1,673,capital,materia,PARTIDO ADMINISTRATIVO COACTIVO FISCAL Y TRIBUTARIO,13,11237,2012,13249,2671,10578,20.2,79.8,155.0,,,,,PARTIDO ADMINISTRATIVO COACTIVO FISCAL Y TRIBUTARIO,PARTIDO ADMINISTRATIVO COACTIVO FISCAL Y TRIBUTARIO,juzgado,dato,False,2023,False
9.1.1,673,capital,materia,INSTRUCCIÓN PENAL,75,39361,59752,99113,60894,38219,61.4,38.6,797.0,,,,,INSTRUCCIÓN PENAL,INSTRUCCIÓN PENAL,juzgado,dato,False,2023,False
9.1.1,673,capital,materia,INSTRUCCÓN CONTRA LA VIOLENCIA HACIA LA MUJER,33,25071,34188,59259,30983,28276,52.3,47.7,1036.0,,,,,INSTRUCCÓN CONTRA LA VIOLENCIA HACIA LA MUJER,INSTRUCCIÓN CONTRA LA VIOLENCIA HACIA LA MUJER,juzgado,dato,True,2023,False
9.1.1,673,capital,materia,INSTRUCCIÓN ANTICORRUPCIÓN,4,2335,2066,4401,1940,2461,44.1,55.9,517.0,,,,,INSTRUCCIÓN ANTICORRUPCIÓN,INSTRUCCIÓN ANTICORRUPCIÓN,juzgado,dato,False,2023,False
9.1.1,673,capital,materia,SENTENCIA PENAL,93,27115,12377,39492,12737,26755,32.3,67.7,133.0,,,,,SENTENCIA PENAL,SENTENCIA PENAL,juzgado,dato,False,2023,False
9.1.1,673,capital,materia,SENTENCIA CONTRA LA VIOLENCIA HACIA LA MUJER,24,9438,5959,15397,4347,11050,28.2,71.8,248.0,,,,,SENTENCIA CONTRA LA VIOLENCIA HACIA LA MUJER,SENTENCIA CONTRA LA VIOLENCIA HACIA LA MUJER,juzgado,dato,False,2023,False
9.1.1,673,capital,materia,SENTENCIA ANTICORRUPCIÓN,1,870,604,1474,370,1104,25.1,74.9,604.0,,,,,SENTENCIA ANTICORRUPCIÓN,SENTENCIA ANTICORRUPCIÓN,juzgado,dato,False,2023,False
9.1.1,673,capital,materia,TRIBUNAL DE SENTENCIA PENAL,30,4496,1443,5939,1189,4750,20.0,80.0,48.0,,,,,TRIBUNAL DE SENTENCIA PENAL,TRIBUNAL DE SENTENCIA PENAL,tribunal,dato,False,2023,False
9.1.1,673,capital,materia,TRIBUNAL DE SENTENCIA CONTRA LA VIOLENCIA HACIA LA MUJER,1,2197,1288,3485,1060,2425,30.4,69.6,1288.0,,,,,TRIBUNAL DE SENTENCIA CONTRA LA VIOLENCIA HACIA LA MUJER,TRIBUNAL DE SENTENCIA CONTRA LA VIOLENCIA HACIA LA MUJER,tribunal,dato,False,2023,False
9.1.1,673,capital,materia,TRIBUNAL DE SENTENCIA ANTICORRUPCIÓN,1,453,191,644,203,441,31.5,68.5,191.0,,,,,TRIBUNAL DE SENTENCIA ANTICORRUPCIÓN,TRIBUNAL DE SENTENCIA ANTICORRUPCIÓN,tribunal,dato,False,2023,False
9.1.1,673,capital,materia,EJECUCIÓN PENAL,19,37717,15819,53536,8992,44544,16.8,83.2,833.0,,,,,EJECUCIÓN PENAL,EJECUCIÓN PENAL,juzgado,dato,False,2023,False
9.1.1,673,capital,materia,NACIONAL CAPITAL,640,241584,282370,523953,274862,249091,52.5,47.5,441.0,,,,,,,juzgado,total,False,2023,False
9.1.3,680,capital,ciudad,Sucre,49,8438,18268,26706,17009,9697,63.7,36.3,373.0,,Sucre,,Chuquisaca,,,juzgado,dato,False,2023,False
9.1.3,680,capital,ciudad,La Paz,123,51741,49575,101316,46131,55185,45.5,54.5,403.0,,La Paz,,La Paz,,,juzgado,dato,False,2023,False
9.1.3,680,capital,ciudad,El Alto,67,27415,33541,60955,32543,28412,53.4,46.6,501.0,,El Alto,,La Paz,,,juzgado,dato,False,2023,False
9.1.3,680,capital,ciudad,Cochabamba,93,25411,39916,65327,39997,25330,61.2,38.8,429.0,,Cochabamba,,Cochabamba,,,juzgado,dato,False,2023,False
9.1.3,680,capital,ciudad,Oruro,47,12172,19191,31363,17430,13933,55.6,44.4,408.0,,Oruro,,Oruro,,,juzgado,dato,False,2023,False
9.1.3,680,capital,ciudad,Potosí,38,16046,16229,32275,16287,15988,50.5,49.5,427.0,,Potosí,,Potosí,,,juzgado,dato,False,2023,False
9.1.3,680,capital,ciudad,Tarija,41,15003,17833,32836,17592,15244,53.6,46.4,435.0,,Tarija,,Tarija,,,juzgado,dato,False,2023,False
9.1.3,680,capital,ciudad,Santa Cruz,132,76970,75233,152203,76183,76020,50.1,49.9,570.0,,Santa Cruz,,Santa Cruz,,,juzgado,dato,False,2023,False
9.1.3,680,capital,ciudad,Trinidad,30,4242,7847,12089,7013,5076,58.0,42.0,262.0,,Trinidad,,Beni,,,juzgado,dato,False,2023,False
9.1.3,680,capital,ciudad,Cobija,20,4146,4737,8883,4677,4206,52.7,47.3,237.0,,Cobija,,Pando,,,juzgado,dato,False,2023,False
9.1.3,680,capital,ciudad,NACIONAL,640,241584,282370,523953,274862,249091,52.5,47.5,441.0,,,,,,,juzgado,total,False,2023,False
9.1.5,687,provincia,materia,PÚBLICO CIVIL Y COMERCIAL,,13374,27672,41046,26981,14065,65.7,34.3,,23.24,,,,PÚBLICO CIVIL Y COMERCIAL,PÚBLICO CIVIL Y COMERCIAL,juzgado,dato,False,2023,False
9.1.5,687,provincia,materia,PÚBLICO DE FAMILIA,,17968,27766,45734,26687,19047,58.4,41.6,,23.32,,,,PÚBLICO DE FAMILIA,PÚBLICO DE FAMILIA,juzgado,dato,False,2023,False
