cuadro_origen,pagina_pdf,ambito,eje,etiqueta_fila,gestion,resueltas,pct_resueltas,materia_cruda,materia_norm,materia_homologada,instancia_derivada,tipo_fila_derivado,errata_corregida,revisado_manual
9.1.2,677,capital,materia,Público Civil y Comercial,2019,61635,69.6,Público Civil y Comercial,Público Civil y Comercial,Público Civil y Comercial,juzgado,dato,False,False
9.1.2,677,capital,materia,Público Civil y Comercial,2020,38356,66.7,Público Civil y Comercial,Público Civil y Comercial,Público Civil y Comercial,juzgado,dato,False,False
9.1.2,677,capital,materia,Público Civil y Comercial,2021,52219,66.7,Público Civil y Comercial,Público Civil y Comercial,Público Civil y Comercial,juzgado,dato,False,False
9.1.2,677,capital,materia,Público Civil y Comercial,2022,58647,67.9,Público Civil y Comercial,Público Civil y Comercial,Público Civil y Comercial,juzgado,dato,False,False
9.1.2,677,capital,materia,Público Civil y Comercial,2023,67788,70.7,Público Civil y Comercial,Público Civil y Comercial,Público Civil y Comercial,juzgado,dato,False,False
9.1.2,677,capital,materia,Público de Familia,2019,47806,61.8,Público de Familia,Público de Familia,Público de Familia,juzgado,dato,False,False
9.1.2,677,capital,materia,Público de Familia,2020,34802,65.5,Público de Familia,Público de Familia,Público de Familia,juzgado,dato,False,False
9.1.2,677,capital,materia,Público de Familia,2021,53128,65.5,Público de Familia,Público de Familia,Público de Familia,juzgado,dato,False,False
9.1.2,677,capital,materia,Público de Familia,2022,52685,66.2,Público de Familia,Público de Familia,Público de Familia,juzgado,dato,False,False
9.1.2,677,capital,materia,Público de Familia,2023,52523,70.3,Público de Familia,Público de Familia,Público de Familia,juzgado,dato,False,False
9.1.2,677,capital,materia,Público Niñez y Adolescencia,2019,7614,55.2,Público Niñez y Adolescencia,Público Niñez y Adolescencia,Público Niñez y Adolescencia,juzgado,dato,False,False
9.1.2,677,capital,materia,Público Niñez y Adolescencia,2020,5176,57.8,Público Niñez y Adolescencia,Público Niñez y Adolescencia,Público Niñez y Adolescencia,juzgado,dato,False,False
9.1.2,677,capital,materia,Público Niñez y Adolescencia,2021,6964,57.8,Público Niñez y Adolescencia,Público Niñez y Adolescencia,Público Niñez y Adolescencia,juzgado,dato,False,False
9.1.2,677,capital,materia,Público Niñez y Adolescencia,2022,6760,52.8,Público Niñez y Adolescencia,Público Niñez y Adolescencia,Público Niñez y Adolescencia,juzgado,dato,False,False
9.1.2,677,capital,materia,Público Niñez y Adolescencia,2023,8368,67.5,Público Niñez y Adolescencia,Público Niñez y Adolescencia,Público Niñez y Adolescencia,juzgado,dato,False,False
9.1.2,677,capital,materia,Partido Trabajo y Seguridad Social,2019,14136,36.1,Partido Trabajo y Seguridad Social,Partido Trabajo y Seguridad Social,Partido de Trabajo y Seguridad Social,juzgado,dato,False,False
9.1.2,677,capital,materia,Partido Trabajo y Seguridad Social,2020,13497,38.0,Partido Trabajo y Seguridad Social,Partido Trabajo y Seguridad Social,Partido de Trabajo y Seguridad Social,juzgado,dato,False,False
9.1.2,677,capital,materia,Partido Trabajo y Seguridad Social,2021,15362,38.0,Partido Trabajo y Seguridad Social,Partido Trabajo y Seguridad Social,Partido de Trabajo y Seguridad Social,juzgado,dato,False,False
9.1.2,677,capital,materia,Partido Trabajo y Seguridad Social,2022,15929,38.6,Partido Trabajo y Seguridad Social,Partido Trabajo y Seguridad Social,Partido de Trabajo y Seguridad Social,juzgado,dato,False,False
9.1.2,677,capital,materia,Partido Trabajo y Seguridad Social,2023,20797,46.2,Partido Trabajo y Seguridad Social,Partido Trabajo y Seguridad Social,Partido de Trabajo y Seguridad Social,juzgado,dato,False,False
9.1.2,677,capital,materia,"Partido Administrativo, Coactivo Fiscal",2019,2067,15.2,"Partido Administrativo, Coactivo Fiscal","Partido Administrativo, Coactivo Fiscal",Partido Administrativo Coactivo Fiscal y Tributario,juzgado,dato,False,False
9.1.2,677,capital,materia,"Partido Administrativo, Coactivo Fiscal",2020,2114,14.3,"Partido Administrativo, Coactivo Fiscal","Partido Administrativo, Coactivo Fiscal",Partido Administrativo Coactivo Fiscal y Tributario,juzgado,dato,False,False
9.1.2,677,capital,materia,"Partido Administrativo, Coactivo Fiscal",2021,2110,14.3,"Partido Administrativo, Coactivo Fiscal","Partido Administrativo, Coactivo Fiscal",Partido Administrativo Coactivo Fiscal y Tributario,juzgado,dato,False,False
9.1.2,677,capital,materia,"Partido Administrativo, Coactivo Fiscal",2022,2518,18.2,"Partido Administrativo, Coactivo Fiscal","Partido Administrativo, Coactivo Fiscal",Partido Administrativo Coactivo Fiscal y Tributario,juzgado,dato,False,False
9.1.2,677,capital,materia,"Partido Administrativo, Coactivo Fiscal",2023,2671,20.2,"Partido Administrativo, Coactivo Fiscal","Partido Administrativo, Coactivo Fiscal",Partido Administrativo Coactivo Fiscal y Tributario,juzgado,dato,False,False
9.1.2,677,capital,materia,Instrucción Penal,2019,61962,45.9,Instrucción Penal,Instrucción Penal,Instrucción Penal,juzgado,dato,False,False
9.1.2,677,capital,materia,Instrucción Penal,2020,46030,59.1,Instrucción Penal,Instrucción Penal,Instrucción Penal,juzgado,dato,False,False
9.1.2,677,capital,materia,Instrucción Penal,2021,56894,59.1,Instrucción Penal,Instrucción Penal,Instrucción Penal,juzgado,dato,False,False
9.1.2,677,capital,materia,Instrucción Penal,2022,51518,53.5,Instrucción Penal,Instrucción Penal,Instrucción Penal,juzgado,dato,False,False
9.1.2,677,capital,materia,Instrucción Penal,2023,60894,62.0,Instrucción Penal,Instrucción Penal,Instrucción Penal,juzgado,dato,False,False
9.1.2,677,capital,materia,Instrucción Contra la Violencia hacia las Mujeres,2019,21229,42.4,Instrucción Contra la Violencia hacia las Mujeres,Instrucción Contra la Violencia hacia las Mujeres,Instrucción Contra la Violencia hacia las Mujeres,juzgado,dato,False,False
9.1.2,677,capital,materia,Instrucción Contra la Violencia hacia las Mujeres,2020,2614,47.4,Instrucción Contra la Violencia hacia las Mujeres,Instrucción Contra la Violencia hacia las Mujeres,Instrucción Contra la Violencia hacia las Mujeres,juzgado,dato,False,False
9.1.2,677,capital,materia,Instrucción Contra la Violencia hacia las Mujeres,2021,27945,33.1,Instrucción Contra la Violencia hacia las Mujeres,Instrucción Contra la Violencia hacia las Mujeres,Instrucción Contra la Violencia hacia las Mujeres,juzgado,dato,False,False
9.1.2,677,capital,materia,Instrucción Contra la Violencia hacia las Mujeres,2022,30968,46.7,Instrucción Contra la Violencia hacia las Mujeres,Instrucción Contra la Violencia hacia las Mujeres,Instrucción Contra la Violencia hacia las Mujeres,juzgado,dato,False,False
9.1.2,677,capital,materia,Instrucción Contra la Violencia hacia las Mujeres,2023,30983,54.5,Instrucción Contra la Violencia hacia las Mujeres,Instrucción Contra la Violencia hacia las Mujeres,Instrucción Contra la Violencia hacia las Mujeres,juzgado,dato,False,False
9.1.2,677,capital,materia,Instrucción Anticorrupción,2019,2005,38.4,Instrucción Anticorrupción,Instrucción Anticorrupción,Instrucción Anticorrupción,juzgado,dato,False,False
9.1.2,677,capital,materia,Instrucción Anticorrupción,2020,23763,33.1,Instrucción Anticorrupción,Instrucción Anticorrupción,Instrucción Anticorrupción,juzgado,dato,False,False
9.1.2,677,capital,materia,Instrucción Anticorrupción,2021,2244,47.4,Instrucción Anticorrupción,Instrucción Anticorrupción,Instrucción Anticorrupción,juzgado,dato,False,False
9.1.2,677,capital,materia,Instrucción Anticorrupción,2022,2887,38.6,Instrucción Anticorrupción,Instrucción Anticorrupción,Instrucción Anticorrupción,juzgado,dato,False,False
9.1.2,677,capital,materia,Instrucción Anticorrupción,2023,1940,45.3,Instrucción Anticorrupción,Instrucción Anticorrupción,Instrucción Anticorrupción,juzgado,dato,False,False
9.1.2,677,capital,materia,Sentencia Penal,2019,5729,22.6,Sentencia Penal,Sentencia Penal,Sentencia Penal,juzgado,dato,False,False
9.1.2,677,capital,materia,Sentencia Penal,2020,6372,25.9,Sentencia Penal,Sentencia Penal,Sentencia Penal,juzgado,dato,False,False
9.1.2,677,capital,materia,Sentencia Penal,2021,9098,25.9,Sentencia Penal,Sentencia Penal,Sentencia Penal,juzgado,dato,False,False
9.1.2,677,capital,materia,Sentencia Penal,2022,9447,25.8,Sentencia Penal,Sentencia Penal,Sentencia Penal,juzgado,dato,False,False
9.1.2,677,capital,materia,Sentencia Penal,2023,12737,32.3,Sentencia Penal,Sentencia Penal,Sentencia Penal,juzgado,dato,False,False
9.1.2,677,capital,materia,Sentencia Anticorrupción,2019,74,15.1,Sentencia Anticorrupción,Sentencia Anticorrupción,Sentencia Anticorrupción,juzgado,dato,False,False
9.1.2,677,capital,materia,Sentencia Anticorrupción,2020,950,13.1,Sentencia Anticorrupción,Sentencia Anticorrupción,Sentencia Anticorrupción,juzgado,dato,False,False
9.1.2,677,capital,materia,Sentencia Anticorrupción,2021,153,18.3,Sentencia Anticorrupción,Sentencia Anticorrupción,Sentencia Anticorrupción,juzgado,dato,False,False
9.1.2,677,capital,materia,Sentencia Anticorrupción,2022,7495,52.6,Sentencia Anticorrupción,Sentencia Anticorrupción,Sentencia Anticorrupción,juzgado,dato,False,False
9.1.2,677,capital,materia,Sentencia Anticorrupción,2023,4347,28.2,Sentencia Anticorrupción,Sentencia Anticorrupción,Sentencia Anticorrupción,juzgado,dato,False,False
9.1.2,677,capital,materia,Sentencia Violencia Contra la Violencia hacia las Mujeres,2019,586,12.6,Sentencia Violencia Contra la Violencia hacia las Mujeres,Sentencia Violencia Contra la Violencia hacia las Mujeres,Sentencia Violencia Contra la Violencia hacia las Mujeres,juzgado,dato,False,False
9.1.2,677,capital,materia,Sentencia Violencia Contra la Violencia hacia las Mujeres,2020,174,18.3,Sentencia Violencia Contra la Violencia hacia las Mujeres,Sentencia Violencia Contra la Violencia hacia las Mujeres,Sentencia Violencia Contra la Violencia hacia las Mujeres,juzgado,dato,False,False
9.1.2,677,capital,materia,Sentencia Violencia Contra la Violencia hacia las Mujeres,2021,1739,13.1,Sentencia Violencia Contra la Violencia hacia las Mujeres,Sentencia Violencia Contra la Violencia hacia las Mujeres,Sentencia Violencia Contra la Violencia hacia las Mujeres,juzgado,dato,False,False
9.1.2,677,capital,materia,Sentencia Violencia Contra la Violencia hacia las Mujeres,2022,264,22.5,Sentencia Violencia Contra la Violencia hacia las Mujeres,Sentencia Violencia Contra la Violencia hacia las Mujeres,Sentencia Violencia Contra la Violencia hacia las Mujeres,juzgado,dato,False,False
9.1.2,677,capital,materia,Sentencia Violencia Contra la Violencia hacia las Mujeres,2023,370,25.1,Sentencia Violencia Contra la Violencia hacia las Mujeres,Sentencia Violencia Contra la Violencia hacia las Mujeres,Sentencia Violencia Contra la Violencia hacia las Mujeres,juzgado,dato,False,False
9.1.2,677,capital,materia,Tribunales de Sentencia Penal,2019,6887,44.7,Tribunales de Sentencia Penal,Tribunales de Sentencia Penal,Tribunales de Sentencia Penal,tribunal,dato,False,False
9.1.2,677,capital,materia,Tribunales de Sentencia Penal,2020,2079,30.0,Tribunales de Sentencia Penal,Tribunales de Sentencia Penal,Tribunales de Sentencia Penal,tribunal,dato,False,False
9.1.2,677,capital,materia,Tribunales de Sentencia Penal,2021,2040,30.0,Tribunales de Sentencia Penal,Tribunales de Sentencia Penal,Tribunales de Sentencia Penal,tribunal,dato,False,False
9.1.2,677,capital,materia,Tribunales de Sentencia Penal,2022,1373,19.2,Tribunales de Sentencia Penal,Tribunales de Sentencia Penal,Tribunales de Sentencia Penal,tribunal,dato,False,False
9.1.2,677,capital,materia,Tribunales de Sentencia Penal,2023,1189,20.0,Tribunales de Sentencia Penal,Tribunales de Sentencia Penal,Tribunales de Sentencia Penal,tribunal,dato,False,False
9.1.2,677,capital,materia,Tribunales de Sentencia Anticorrupción,2019,245,37.1,Tribunales de Sentencia Anticorrupción,Tribunales de Sentencia Anticorrupción,Tribunales de Sentencia Anticorrupción,tribunal,dato,False,False
9.1.2,677,capital,materia,Tribunales de Sentencia Anticorrupción,2020,503,30.3,Tribunales de Sentencia Anticorrupción,Tribunales de Sentencia Anticorrupción,Tribunales de Sentencia Anticorrupción,tribunal,dato,False,False
9.1.2,677,capital,materia,Tribunales de Sentencia Anticorrupción,2021,125,37.2,Tribunales de Sentencia Anticorrupción,Tribunales de Sentencia Anticorrupción,Tribunales de Sentencia Anticorrupción,tribunal,dato,False,False
9.1.2,677,capital,materia,Tribunales de Sentencia Anticorrupción,2022,1030,31.3,Tribunales de Sentencia Anticorrupción,Tribunales de Sentencia Anticorrupción,Tribunales de Sentencia Anticorrupción,tribunal,dato,False,False
9.1.2,677,capital,materia,Tribunales de Sentencia Anticorrupción,2023,1060,30.4,Tribunales de Sentencia Anticorrupción,Tribunales de Sentencia Anticorrupción,Tribunales de Sentencia Anticorrupción,tribunal,dato,False,False
