cuadro_origen,pagina_pdf,ambito,gestion,pendientes_inicio,ingresadas,atendidas,resueltas,pendientes_fin,pct_resueltas,num_juzgados,promedio_por_juzgado,col_sin_rotulo_1,col_sin_rotulo_2,pct_pendientes,col_sin_rotulo_3,revisado_manual
9.1.4,684,capital,2007,117453,234344,351797,168884,182913,48.0,426,550.0,,,,,False
9.1.4,684,capital,2008,146247,253262,399509,193798,205711,48.5,426,595.0,8.1,15.0,,,False
9.1.4,684,capital,2009,175621,264102,439723,203120,236603,46.2,427,619.0,4.3,5.0,,,False
9.1.4,684,capital,2010,210934,270858,481792,216336,265456,44.9,427,634.0,2.6,7.0,,,False
9.1.4,684,capital,2011,218222,284764,502986,220538,282448,43.8,427,667.0,5.1,2.0,,,False
9.1.4,684,capital,2012,271080,303410,574490,251945,322545,43.9,427,711.0,6.5,14.0,,,False
9.1.4,684,capital,2013,228937,396006,624943,287877,337066,46.1,463,855.0,30.5,14.0,,,False
9.1.4,684,capital,2014,265068,366603,631671,293241,338430,46.4,476,770.0,-7.4,2.0,,,False
9.1.4,684,capital,2015,311742,357536,669278,352793,316485,52.7,484,739.0,-2.5,20.0,,,False
9.1.4,684,capital,2016,391594,272618,664212,309684,354528,46.6,495,551.0,-23.8,-12.0,,,False
9.1.4,684,capital,2017,292590,269879,562469,272898,289571,48.5,495,545.0,-1.0,-12.0,,,False
9.1.4,684,capital,2018,261684,246907,508591,258544,250047,50.8,495,499.0,-8.5,-5.0,,,False
9.1.4,684,capital,2019,243815,247375,491266,235896,255370,48.0,573,432.0,0.2,-9.0,,,False
9.1.4,684,capital,2020,258468,182889,441357,183849,257508,41.7,573,319.0,-26.1,-22.0,,,False
9.1.4,684,capital,2021,241923,243733,485656,238575,247081,49.1,573,425.0,33.3,30.0,,,False
9.1.4,684,capital,2022,246188,260275,506465,250470,255994,49.5,593,439.0,6.8,5.0,,,False
9.1.4,684,capital,2023,241584,282370,523953,274862,249091,52.5,640,441.0,8.5,10.0,,,False
9.1.8,698,provincia,2007,22531,71143,93674,55846,37828,59.6,,,,,40.4,,False
9.1.8,698,provincia,2008,27760,80711,108471,63680,44791,58.7,,,23.2,13.4,41.3,14.0,False
9.1.8,698,provincia,2009,35455,85659,121114,67454,53660,55.7,,,27.7,6.1,44.3,5.9,False
9.1.8,698,provincia,2010,40357,76477,116834,59558,57276,51.0,,,13.8,-10.7,49.0,-11.7,False
9.1.8,698,provincia,2011,43118,73921,117039,58805,58234,50.2,,,6.8,-3.3,49.8,-1.3,False
9.1.8,698,provincia,2012,59375,90030,149405,73245,76160,49.0,,,37.7,21.8,51.0,24.6,False
9.1.8,698,provincia,2013,73356,103224,176580,86435,90145,48.9,,,23.5,14.7,51.1,18.0,False
9.1.8,698,provincia,2014,75118,103629,178747,91221,87526,51.0,,,2.4,0.4,49.0,5.5,False
9.1.8,698,provincia,2015,83056,130916,213972,120634,93338,56.4,,,10.6,26.3,43.6,32.2,False
9.1.8,698,provincia,2016,82844,123196,206040,109478,96562,53.1,,,-0.3,-5.9,46.9,-9.2,False
9.1.8,698,provincia,2017,66489,100356,166845,82429,84416,49.4,,,-19.7,-18.5,50.6,-24.7,False
9.1.8,698,provincia,2018,72757,101868,174625,89128,85525,51.0,,,9.4,1.5,49.0,8.1,False
9.1.8,698,provincia,2019,89785,113878,203657,101086,102566,49.6,,,23.4,11.8,50.4,13.4,False
9.1.8,698,provincia,2020,87448,80548,167996,77899,90097,46.4,,,-2.6,-29.3,53.6,-22.9,False
9.1.8,698,provincia,2021,85501,106265,191766,94704,97062,49.4,,,-2.2,31.9,50.6,21.6,False
9.1.8,698,provincia,2022,91628,117818,209446,100760,108686,48.1,,,7.2,10.9,51.9,6.4,False
9.1.8,698,provincia,2023,95810,119078,214888,107471,107417,50.0,,,4.6,6.7,50.0,,False
9.1.12,712,nacional,2007,139984,305487,445471,224730,220741,50.4,,,,,49.6,,False
9.1.12,712,nacional,2008,174007,333973,507980,257478,250502,50.7,,,24.3,9.3,49.3,14.0,False
9.1.12,712,nacional,2009,211076,349761,560837,270574,290263,48.2,,,21.3,4.7,51.8,10.4,False
