fila_en_cuadro,cuadro_origen,pagina_pdf,departamento,provincia_o_grupo,localidad_o_subtipo,rotulo_1_derivado_del_bloque,n_columnas,columna,valor,fragmentos_encabezado,es_ultima_columna,columna_rotulo_canonico,columna_codigo_canonico,tipo_columna,fila_id,fila_rotulo_canonico,fila_codigo_canonico,tipo_entidad,estructura_fila,fila_padre_id,nivel_jerarquia,es_hoja_jerarquia,departamento_derivado,gestion,revisado_manual
1,4.1.1,109,CIUDADES CAPITALES Y EL ALTO,JUZGADOS DE INSTRUCCIÓN,,False,11,col_01,8,"TRIBUNALES, SUCRE Sustancias Adolescencia Violencia materia.",False,Sucre,ciudad_sucre,otro,f001,Juzgados de Instrucción,juzgados_instruccion,juzgado,subtotal,f037,1,False,,2023,False
2,4.1.1,109,CIUDADES CAPITALES Y EL ALTO,Penal,,False,11,col_01,4,"TRIBUNALES, SUCRE Sustancias Adolescencia Violencia materia.",False,Sucre,ciudad_sucre,otro,f002,Juzgado de Instrucción Penal,juzgado_instruccion_penal,juzgado,detalle,f001,2,True,,2023,False
3,4.1.1,109,CIUDADES CAPITALES Y EL ALTO,Anticorrupción y Contra la Violencia hacia las mujeres,,False,11,col_01,4,"TRIBUNALES, SUCRE Sustancias Adolescencia Violencia materia.",False,Sucre,ciudad_sucre,otro,f003,Juzgado de Instrucción Anticorrupción y Contra la Violencia hacia las Mujeres,juzgado_instruccion_anticorrupcion_violencia_mujeres,juzgado,detalle,f001,2,True,,2023,False
6,4.1.1,109,CIUDADES CAPITALES Y EL ALTO,JUZGADOS DE PARTIDO Y TRIBUNALES,,False,11,col_01,15,"TRIBUNALES, SUCRE Sustancias Adolescencia Violencia materia.",False,Sucre,ciudad_sucre,otro,f006,Juzgados de Partido y Tribunales,juzgados_partido_tribunales,otro,subtotal,f037,1,False,,2023,False
9,4.1.1,109,CIUDADES CAPITALES Y EL ALTO,Trabajo y Seguridad Social y Adm. Coactivo Fiscal y Tributario,,False,11,col_01,4,"TRIBUNALES, SUCRE Sustancias Adolescencia Violencia materia.",False,Sucre,ciudad_sucre,otro,f009,Juzgado de Partido del Trabajo y Seguridad Social y Adm. Coactivo Fiscal y Tributario,juzgado_partido_trabajo_seguridad_social_adm_coactivo_fiscal_tributario,juzgado,detalle,f006,2,True,,2023,False
10,4.1.1,109,CIUDADES CAPITALES Y EL ALTO,Sentencia Penal,,False,11,col_01,6,"TRIBUNALES, SUCRE Sustancias Adolescencia Violencia materia.",False,Sucre,ciudad_sucre,otro,f010,Juzgado de Sentencia Penal,juzgado_sentencia_penal,juzgado,detalle,f006,2,True,,2023,False
11,4.1.1,109,CIUDADES CAPITALES Y EL ALTO,Sentencia Contra la Violencia hacia las Mujeres,,False,11,col_01,1,"TRIBUNALES, SUCRE Sustancias Adolescencia Violencia materia.",False,Sucre,ciudad_sucre,otro,f011,Juzgado de Sentencia Contra la Violencia hacia las Mujeres,juzgado_sentencia_violencia_mujeres,juzgado,detalle,f006,2,True,,2023,False
16,4.1.1,109,CIUDADES CAPITALES Y EL ALTO,Tribunal de Sentencia,,False,11,col_01,2,"TRIBUNALES, SUCRE Sustancias Adolescencia Violencia materia.",False,Sucre,ciudad_sucre,otro,f016,Tribunal de Sentencia,tribunal_sentencia,tribunal,detalle,f006,2,True,,2023,False
19,4.1.1,109,CIUDADES CAPITALES Y EL ALTO,Ejecución Penal,,False,11,col_01,1,"TRIBUNALES, SUCRE Sustancias Adolescencia Violencia materia.",False,Sucre,ciudad_sucre,otro,f019,Juzgado de Ejecución Penal,juzgado_ejecucion_penal,juzgado,detalle,f006,2,True,,2023,False
20,4.1.1,109,CIUDADES CAPITALES Y EL ALTO,Agroambientales,,False,11,col_01,1,"TRIBUNALES, SUCRE Sustancias Adolescencia Violencia materia.",False,Sucre,ciudad_sucre,otro,f020,Juzgado Agroambiental,juzgado_agroambiental,juzgado,detalle,f006,2,True,,2023,False
21,4.1.1,109,CIUDADES CAPITALES Y EL ALTO,JUZGADOS PUBLICOS,,False,11,col_01,27,"TRIBUNALES, SUCRE Sustancias Adolescencia Violencia materia.",False,Sucre,ciudad_sucre,otro,f021,Juzgados Públicos,juzgados_publicos,juzgado,subtotal,f037,1,False,,2023,False
22,4.1.1,109,CIUDADES CAPITALES Y EL ALTO,Civil y Comercial,,False,11,col_01,14,"TRIBUNALES, SUCRE Sustancias Adolescencia Violencia materia.",False,Sucre,ciudad_sucre,otro,f022,Juzgado Público Civil y Comercial,juzgado_publico_civil_comercial,juzgado,detalle,f021,2,True,,2023,False
23,4.1.1,109,CIUDADES CAPITALES Y EL ALTO,Familia,,False,11,col_01,10,"TRIBUNALES, SUCRE Sustancias Adolescencia Violencia materia.",False,Sucre,ciudad_sucre,otro,f023,Juzgado Público de Familia,juzgado_publico_familia,juzgado,detalle,f021,2,True,,2023,False
24,4.1.1,109,CIUDADES CAPITALES Y EL ALTO,Niñez y Adolescencia,,False,11,col_01,3,"TRIBUNALES, SUCRE Sustancias Adolescencia Violencia materia.",False,Sucre,ciudad_sucre,otro,f024,Juzgado Público de la Niñez y Adolescencia,juzgado_publico_ninez_adolescencia,juzgado,detalle,f021,2,True,,2023,False
25,4.1.1,109,CIUDADES CAPITALES Y EL ALTO,JUZGADOS MIXTOS,,False,11,col_01,0,"TRIBUNALES, SUCRE Sustancias Adolescencia Violencia materia.",False,Sucre,ciudad_sucre,otro,f025,Juzgados Mixtos,juzgados_mixtos,juzgado,subtotal,f037,1,False,,2023,False
29,4.1.1,109,CIUDADES CAPITALES Y EL ALTO,SALAS,,False,11,col_01,8,"TRIBUNALES, SUCRE Sustancias Adolescencia Violencia materia.",False,Sucre,ciudad_sucre,otro,f029,Salas,salas,sala,subtotal,f037,1,False,,2023,False
30,4.1.1,109,CIUDADES CAPITALES Y EL ALTO,Civil,,False,11,col_01,2,"TRIBUNALES, SUCRE Sustancias Adolescencia Violencia materia.",False,Sucre,ciudad_sucre,otro,f030,Sala Civil,sala_civil,sala,detalle,f029,2,True,,2023,False
31,4.1.1,109,CIUDADES CAPITALES Y EL ALTO,Penal,,False,11,col_01,2,"TRIBUNALES, SUCRE Sustancias Adolescencia Violencia materia.",False,Sucre,ciudad_sucre,otro,f031,Sala Penal,sala_penal,sala,detalle,f029,2,True,,2023,False
32,4.1.1,109,CIUDADES CAPITALES Y EL ALTO,Social Administrativa,,False,11,col_01,1,"TRIBUNALES, SUCRE Sustancias Adolescencia Violencia materia.",False,Sucre,ciudad_sucre,otro,f032,Sala Social Administrativa,sala_social_administrativa,sala,detalle,f029,2,True,,2023,False
33,4.1.1,109,CIUDADES CAPITALES Y EL ALTO,"Familia, Niñez y Adolescencia",,False,11,col_01,1,"TRIBUNALES, SUCRE Sustancias Adolescencia Violencia materia.",False,Sucre,ciudad_sucre,otro,f033,"Sala de Familia, Niñez y Adolescencia",sala_familia_ninez_adolescencia,sala,detalle,f029,2,True,,2023,False
