cuadro_origen,pagina_pdf,distrito,ente,items_mujer,items_varon,items_acefalias,items_total,remun_mujer,remun_varon,remun_acefalias,remun_total,distrito_derivado_del_bloque,departamento_derivado,tipo_fila_derivado,gestion,revisado_manual
14.1.1,743,NACIONAL,Tribunal Supremo de Justicia,62,103,2,167,528887,1142866,18013,1689766,True,,dato,2023,False
14.1.1,743,NACIONAL,DAF Enlace en el TSJ,11,11,0,22,52002,73388,0,125390,True,,dato,2023,False
14.1.1,743,NACIONAL,Dirección General Administrativa Financiera,56,56,0,112,428482,504549,0,933031,True,,dato,2023,False
14.1.1,743,NACIONAL,Consejo de la Magistratura,64,67,3,134,575091,706632,27665,1309388,True,,dato,2023,False
14.1.1,743,NACIONAL,DAF Enlace en el CM,16,4,0,20,91339,22738,0,114077,True,,dato,2023,False
14.1.1,743,NACIONAL,Derechos Reales,4,2,0,6,31023,27470,0,58493,True,,dato,2023,False
14.1.1,743,NACIONAL,Tribunal Agroambiental,36,43,0,79,366513,503544,0,870057,True,,dato,2023,False
14.1.1,743,NACIONAL,DAF Enlace,16,5,0,21,100913,23097,0,124010,True,,dato,2023,False
14.1.1,743,NACIONAL,SUB TOTAL,265,291,5,561,2174250,3004284,45678,5224212,True,,subtotal,2023,False
14.1.1,743,CHUQUISACA,Tribunal Departamental de Justicia,256,187,32,475,1452399,1569320,134625,3156344,True,Chuquisaca,dato,2023,False
14.1.1,743,CHUQUISACA,Consejo de la Magistratura,14,9,0,23,102291,57800,0,160091,True,Chuquisaca,dato,2023,False
14.1.1,743,CHUQUISACA,Derechos Reales,26,8,1,35,121098,33154,7696,161948,True,Chuquisaca,dato,2023,False
14.1.1,743,CHUQUISACA,Juzgados Disciplinarios,4,2,0,6,26738,17930,,44668,True,Chuquisaca,dato,2023,False
14.1.1,743,CHUQUISACA,DAF Enlace,16,10,0,26,77706,66110,0,143816,True,Chuquisaca,dato,2023,False
14.1.1,743,CHUQUISACA,SUB TOTAL,316,216,33,565,1780232,1744314,142321,3666867,True,Chuquisaca,subtotal,2023,False
14.1.1,743,LA PAZ,Tribunal Departamental de Justicia,671,528,76,1275,3976337,4175800,310212,8462349,True,La Paz,dato,2023,False
14.1.1,743,LA PAZ,Consejo de la Magistratura,20,16,0,36,146849,105791,0,252640,True,La Paz,dato,2023,False
14.1.1,743,LA PAZ,Derechos Reales,72,87,3,162,329520,401827,19282,750629,True,La Paz,dato,2023,False
14.1.1,743,LA PAZ,Juzgados Disciplinarios,9,3,0,12,57098,32238,0,89336,True,La Paz,dato,2023,False
14.1.1,743,LA PAZ,DAF Enlace,25,49,1,75,123306,256802,5859,385967,True,La Paz,dato,2023,False
14.1.1,743,LA PAZ,SUB TOTAL,797,683,80,1560,4633110,4972458,335353,9940921,True,La Paz,subtotal,2023,False
14.1.1,743,COCHABAMBA,Tribunal Departamental de Justicia,501,355,34,890,3254487,2673918,190186,6118591,True,Cochabamba,dato,2023,False
14.1.1,743,COCHABAMBA,Consejo de la Magistratura,18,14,0,32,118498,110570,0,229068,True,Cochabamba,dato,2023,False
14.1.1,743,COCHABAMBA,Derechos Reales,78,54,0,132,316366,262553,0,578919,True,Cochabamba,dato,2023,False
14.1.1,743,COCHABAMBA,Juzgados Disciplinarios,5,4,0,9,30360,36642,0,67002,True,Cochabamba,dato,2023,False
14.1.1,743,COCHABAMBA,DAF Enlace,22,26,1,49,110663,154725,10380,275768,True,Cochabamba,dato,2023,False
14.1.1,743,COCHABAMBA,SUB TOTAL,624,453,35,1112,3830374,3238408,200566,7269348,True,Cochabamba,subtotal,2023,False
14.1.1,743,ORURO,Tribunal Departamental de Justicia,194,160,35,389,1165029,1268093,172687,2605809,True,Oruro,dato,2023,False
14.1.1,743,ORURO,Consejo de la Magistratura,13,11,0,24,94727,75708,0,170435,True,Oruro,dato,2023,False
