materia_homologada,tipo_proceso,atendidas_total,resueltas_total,pendientes_total,duracion_media_dias,congestion_media,congestion_ponderada,duracion_ponderada_dias
Público de Familia,ASISTENCIA FAMILIAR,44644,26344,18300,273.16972530079033,1.7484102063035352,1.69465532948679,253.54919526267844
Público Civil y Comercial,ORDINARIO,34177,20397,13780,372.4268026502821,2.0203474045213206,1.675589547482473,246.59018483110262
Partido de Trabajo y Seguridad Social,INFRACCION A LEYES SOCIALES,17504,5624,11880,1209.0355555552298,4.31242617960337,3.112375533428165,771.0170697012802
Público de Familia,DIVORCIO -DESVINCULACION Art. 207,32934,24239,8695,195.78497665617263,1.5363971963182812,1.3587194191179504,130.9325879780519
Público Civil y Comercial,EJECUTIVO,42303,35866,6437,84.65038484463139,1.231918862588031,1.1794735961634975,65.50786259967657
Partido Administrativo Coactivo Fiscal y Tributario,COACTIVO FISCAL,7383,1422,5961,2404.0519277787766,7.586443637750074,5.19198312236287,1530.0738396624474
Partido de Trabajo y Seguridad Social,COACTIVO SOCIAL AFPs,6697,2001,4696,1103.3543995696805,4.02288876594433,3.3468265867066465,856.591704147926
Público Civil y Comercial,"INSCRIPCIÓN, MODIFICACIÓN, CANCELACIÓN O FUSIÓN DE PARTIDAS EN EL REGISTRO DE DERECHOS REALES, ASI COMO EN OTROS REGISTROS PÚBLICOS",17339,12825,4514,158.62103683702844,1.4345781831151465,1.3519688109161794,128.46861598440546
Público Civil y Comercial,OTROS VOLUNTARIOS,10661,6331,4330,250.97875320296933,1.6876130224738886,1.6839361870162692,249.63670826093824
Público de Familia,ASISTENCIA FAMILIAR CUANDO EXISTA ACUERDO (HOMOLOGACIÓN),19819,15595,4224,82.65700151476925,1.226457538396628,1.270856043603719,98.86245591535747
Público Civil y Comercial,OTROS PROCESOS,12318,8158,4160,164.92394326330484,1.4518464198994652,1.5099289041431723,186.12405001225792
Partido de Trabajo y Seguridad Social,DEMANDA DE BENEFICIOS SOCIALES Y DERECHOS ADQUIRIDOS,14042,10534,3508,431.0376957147741,2.180925193739107,1.3330168976647048,121.55116764761723
Partido de Trabajo y Seguridad Social,REINCORPORACIÓN,4386,1160,3226,696.416992424382,2.9079917600668,3.7810344827586206,1015.0775862068965
Partido Administrativo Coactivo Fiscal y Tributario,EJECUCIÓN DE RESOLUCIONES ADMINISTRATIVAS,3103,604,2499,413.25405927570193,2.1322029021252105,5.137417218543046,1510.1572847682119
Público Civil y Comercial,REGULARIZACIÓN DE DERECHO PROPIETARIO SOBRE BIENES INMUEBLES URBANOS DESTINADOS A LA VIVIENDA,5074,2770,2304,264.13786424442594,1.7236653814915779,1.831768953068592,303.5956678700361
Partido Administrativo Coactivo Fiscal y Tributario,CONTENCIOSO TRIBUTARIO,2683,588,1885,1261.0182558669399,6.249716331493548,4.562925170068027,1170.110544217687
Partido de Trabajo y Seguridad Social,DECLARATORIA DE DERECHOS (CAUSA-HABIENTES),3196,1467,1729,328.08660823127536,1.8988674198117135,2.1785957736877983,430.1874573960464
Partido de Trabajo y Seguridad Social,EJECUTIVO SOCIAL,3238,1630,1608,359.3548222122932,1.9845337594857348,1.9865030674846627,360.0736196319018
Público de Familia,IMPUGNACION DE FILIACION,3541,1936,1605,298.673473731048,1.818283489674104,1.8290289256198347,302.5955578512397
Público de Familia,NEGACION DE MATERNIDAD O PATERNIDAD,3459,1901,1558,309.15301637481684,1.846994565410457,1.819568648079958,299.14255654918463
